type,marker_value,duration,timestamp
phase_Image_Cube,recording,7.995616,1698668186.295143
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668186.295143,0.0,4309.102539,4381.922852,4291.410156,4353.461426,4397.563965,4402.94873,4421.025879,4479.230957,4427.820313,4372.436035,4408.846191,4248.333496,4413.846191
1698668186.302951,0.0,4310.0,4381.282227,4292.179688,4353.589844,4394.102539,4403.333496,4419.487305,4478.077148,4425.897461,4373.846191,4409.615234,4234.102539,4410.384766
1698668186.310759,0.0,4308.077148,4383.974121,4294.358887,4349.743652,4393.974121,4402.307617,4418.846191,4473.846191,4430.384766,4377.179688,4409.102539,4221.794922,4407.692383
1698668186.318568,0.0,4310.0,4384.743652,4292.179688,4347.94873,4395.769043,4404.230957,4419.230957,4473.205078,4429.358887,4373.333496,4408.333496,4225.769043,4409.230957
1698668186.326376,0.0,4310.512695,4382.05127,4289.102539,4350.641113,4395.256348,4407.05127,4417.94873,4474.487305,4427.179688,4372.692383,4408.717773,4231.153809,4408.589844
1698668186.334184,0.0,4309.487305,4377.563965,4290.128418,4351.794922,4395.384766,4406.794922,4417.436035,4474.102539,4430.641113,4374.230957,4406.538574,4232.692383,4410.256348
1698668186.341992,0.0,4309.743652,4376.666504,4291.025879,4348.846191,4396.794922,4404.102539,4417.436035,4473.077148,4427.436035,4373.077148,4404.230957,4230.769043,4412.563965
1698668186.349801,0.0,4308.077148,4379.358887,4288.974121,4348.846191,4395.512695,4403.717773,4418.589844,4472.05127,4422.692383,4375.0,4406.410156,4225.384766,4409.230957
1698668186.357609,0.0,4310.897461,4378.333496,4287.05127,4349.743652,4393.974121,4403.846191,4420.897461,4469.615234,4424.102539,4373.333496,4408.717773,4231.282227,4411.153809
1698668186.365417,0.0,4315.384766,4376.922852,4286.794922,4350.0,4394.230957,4401.666504,4420.384766,4470.0,4425.897461,4368.974121,4406.794922,4234.871582,4412.820313
1698668186.373225,0.0,4312.05127,4378.205078,4287.436035,4351.153809,4395.641113,4401.538574,4416.666504,4471.794922,4425.641113,4372.05127,4404.743652,4227.563965,4408.846191
1698668186.381034,0.0,4308.589844,4383.205078,4289.230957,4349.615234,4395.769043,4403.846191,4417.05127,4468.077148,4426.794922,4375.897461,4405.641113,4230.897461,4408.205078
1698668186.388842,0.0,4312.179688,4385.128418,4287.94873,4351.410156,4393.461426,4404.871582,4421.666504,4467.179688,4428.333496,4373.461426,4405.384766,4229.487305,4408.077148
1698668186.39665,0.0,4313.333496,4379.615234,4286.025879,4353.846191,4392.436035,4402.94873,4421.538574,4469.230957,4429.230957,4373.589844,4408.461426,4227.307617,4412.05127
1698668186.404458,0.0,4310.512695,4380.384766,4290.128418,4351.410156,4394.615234,4402.563965,4419.102539,4466.666504,4430.897461,4375.256348,4411.153809,4228.461426,4414.230957
1698668186.412266,0.0,4309.487305,4381.538574,4289.871582,4349.230957,4394.743652,4404.615234,4421.410156,4467.436035,4431.794922,4375.897461,4406.538574,4223.333496,4408.846191
1698668186.420075,0.0,4311.025879,4378.205078,4284.743652,4351.282227,4393.974121,4407.692383,4421.922852,4471.025879,4428.974121,4373.589844,4403.077148,4227.94873,4409.743652
1698668186.427883,0.0,4314.358887,4378.589844,4286.025879,4352.94873,4397.563965,4406.282227,4419.358887,4468.589844,4423.205078,4367.94873,4405.384766,4226.153809,4413.846191
1698668186.435691,0.0,4313.717773,4376.282227,4288.461426,4350.0,4398.205078,4402.05127,4420.769043,4466.922852,4426.282227,4372.307617,4409.230957,4222.563965,4412.94873
1698668186.443499,0.0,4311.666504,4377.692383,4291.410156,4351.922852,4392.307617,4403.077148,4421.025879,4466.282227,4429.871582,4375.384766,4407.179688,4227.563965,4415.769043
1698668186.451307,0.0,4315.0,4376.538574,4290.128418,4350.897461,4390.256348,4403.846191,4420.128418,4465.0,4424.487305,4371.025879,4402.692383,4224.615234,4413.077148
1698668186.459116,0.0,4318.846191,4381.282227,4292.692383,4348.846191,4395.0,4401.153809,4417.436035,4464.743652,4424.487305,4374.358887,4404.230957,4224.102539,4411.794922
1698668186.466924,0.0,4314.487305,4388.461426,4301.025879,4356.153809,4395.256348,4401.666504,4414.615234,4460.897461,4425.641113,4374.358887,4406.538574,4225.384766,4419.358887
1698668186.474732,0.0,4309.871582,4371.922852,4286.025879,4349.358887,4390.641113,4404.871582,4422.179688,4467.436035,4427.179688,4371.666504,4400.128418,4226.410156,4413.974121
1698668186.48254,0.0,4315.897461,4378.077148,4284.871582,4347.179688,4395.384766,4405.128418,4420.256348,4465.641113,4424.487305,4371.538574,4401.666504,4221.922852,4418.717773
1698668186.490348,0.0,4317.94873,4388.333496,4301.410156,4356.153809,4396.666504,4401.282227,4412.692383,4456.666504,4416.025879,4369.102539,4410.512695,4214.358887,4422.94873
1698668186.498157,0.0,4315.128418,4374.743652,4292.94873,4350.641113,4389.102539,4402.94873,4420.256348,4465.0,4418.333496,4370.897461,4407.692383,4221.922852,4415.128418
1698668186.505965,0.0,4315.128418,4380.128418,4294.487305,4347.820313,4390.384766,4406.282227,4420.0,4462.05127,4419.743652,4370.897461,4405.897461,4221.922852,4425.0
1698668186.513773,0.0,4314.487305,4380.769043,4300.769043,4350.0,4396.410156,4403.077148,4416.153809,4459.743652,4418.077148,4369.230957,4407.05127,4219.615234,4424.102539
1698668186.521582,0.0,4315.384766,4373.846191,4291.538574,4351.282227,4397.563965,4402.05127,4416.922852,4464.743652,4419.102539,4366.922852,4407.436035,4227.179688,4419.871582
1698668186.52939,0.0,4315.641113,4377.307617,4289.743652,4355.512695,4394.615234,4403.846191,4412.820313,4459.102539,4413.717773,4364.487305,4411.153809,4224.230957,4426.153809
1698668186.537198,0.0,4313.461426,4377.692383,4293.717773,4352.820313,4392.94873,4402.692383,4416.666504,4461.666504,4413.205078,4369.871582,4410.641113,4217.05127,4424.743652
1698668186.545006,0.0,4313.589844,4375.769043,4294.615234,4349.487305,4395.128418,4403.205078,4420.384766,4460.128418,4416.666504,4369.871582,4407.307617,4225.384766,4423.717773
1698668186.552814,0.0,4317.05127,4376.025879,4293.974121,4351.538574,4393.205078,4403.846191,4416.282227,4453.589844,4415.897461,4364.487305,4408.589844,4235.897461,4424.487305
1698668186.560623,0.0,4316.282227,4379.487305,4294.102539,4350.897461,4388.717773,4402.563965,4417.05127,4455.384766,4415.769043,4367.563965,4412.307617,4234.230957,4428.077148
1698668186.568431,0.0,4314.102539,4380.128418,4292.307617,4347.05127,4390.512695,4403.333496,4419.102539,4455.128418,4415.641113,4367.94873,4412.307617,4222.436035,4429.358887
1698668186.576239,0.0,4317.307617,4376.410156,4294.871582,4348.333496,4395.897461,4405.512695,4417.307617,4454.230957,4415.641113,4365.641113,4411.666504,4220.0,4425.512695
1698668186.584047,0.0,4318.077148,4375.769043,4301.922852,4349.230957,4394.487305,4403.205078,4417.179688,4456.794922,4415.256348,4368.589844,4412.179688,4226.794922,4425.256348
1698668186.591855,0.0,4318.717773,4376.410156,4300.769043,4346.410156,4392.94873,4400.512695,4420.641113,4456.410156,4413.077148,4365.0,4412.307617,4223.589844,4424.487305
1698668186.599664,0.0,4318.077148,4377.307617,4294.615234,4348.077148,4396.282227,4402.436035,4418.333496,4455.0,4413.589844,4361.538574,4414.743652,4217.563965,4423.846191
1698668186.607472,0.0,4314.743652,4379.615234,4293.461426,4352.05127,4396.025879,4405.0,4412.94873,4457.436035,4414.358887,4366.282227,4415.0,4233.974121,4425.384766
1698668186.61528,0.0,4317.05127,4375.769043,4296.282227,4351.922852,4395.0,4404.615234,4414.871582,4456.922852,4413.333496,4366.666504,4413.077148,4248.461426,4423.461426
1698668186.623088,0.0,4317.692383,4374.871582,4297.94873,4351.538574,4395.512695,4403.077148,4415.512695,4454.871582,4415.769043,4365.256348,4417.307617,4234.102539,4422.436035
1698668186.630896,0.0,4314.743652,4378.077148,4296.282227,4351.922852,4394.871582,4406.922852,4415.641113,4460.641113,4417.307617,4366.025879,4419.358887,4213.589844,4421.410156
1698668186.638705,0.0,4314.615234,4376.025879,4293.589844,4349.358887,4394.871582,4407.05127,4416.025879,4465.0,4415.128418,4367.179688,4415.769043,4214.871582,4419.743652
1698668186.646513,0.0,4312.692383,4378.333496,4295.128418,4349.487305,4395.769043,4400.769043,4416.153809,4460.512695,4414.743652,4366.794922,4416.410156,4237.563965,4424.102539
1698668186.654321,0.0,4313.205078,4378.205078,4296.282227,4351.410156,4393.846191,4400.769043,4418.077148,4459.615234,4417.820313,4367.94873,4418.974121,4252.436035,4422.307617
1698668186.662129,0.0,4318.205078,4371.666504,4294.487305,4350.128418,4392.820313,4401.538574,4417.820313,4464.487305,4419.358887,4370.641113,4417.692383,4238.717773,4418.589844
1698668186.669937,0.0,4317.820313,4378.077148,4297.94873,4352.436035,4396.153809,4401.538574,4414.102539,4462.563965,4420.769043,4372.563965,4416.153809,4223.461426,4424.358887
1698668186.677746,0.0,4313.717773,4383.077148,4298.333496,4354.615234,4395.769043,4403.589844,4413.846191,4461.410156,4423.717773,4372.94873,4419.358887,4217.05127,4420.512695
1698668186.685554,0.0,4314.487305,4376.410156,4289.230957,4347.436035,4394.230957,4405.256348,4420.769043,4469.487305,4424.358887,4369.358887,4418.846191,4230.0,4413.846191
1698668186.693362,0.0,4318.205078,4385.512695,4297.94873,4350.128418,4397.563965,4406.153809,4415.512695,4465.641113,4424.487305,4369.871582,4417.05127,4257.05127,4423.205078
1698668186.701171,0.0,4315.0,4381.410156,4300.769043,4354.102539,4396.025879,4403.846191,4412.692383,4466.153809,4427.820313,4375.897461,4418.077148,4258.077148,4417.307617
1698668186.708979,0.0,4309.615234,4369.615234,4290.384766,4345.897461,4393.846191,4404.743652,4420.0,4474.487305,4429.358887,4374.871582,4415.0,4217.692383,4409.230957
1698668186.716787,0.0,4310.641113,4383.717773,4303.717773,4349.358887,4396.282227,4406.538574,4414.871582,4467.563965,4427.307617,4371.153809,4414.230957,4187.307617,4417.820313
1698668186.724595,0.0,4315.256348,4380.641113,4301.794922,4351.922852,4394.743652,4404.358887,4416.025879,4469.871582,4429.102539,4372.94873,4415.512695,4225.641113,4415.128418
1698668186.732403,0.0,4316.025879,4376.410156,4289.743652,4349.358887,4393.205078,4405.0,4418.846191,4474.743652,4428.846191,4371.282227,4417.94873,4268.333496,4415.897461
1698668186.740212,0.0,4311.922852,4382.436035,4299.102539,4352.94873,4394.615234,4405.769043,4412.692383,4469.487305,4425.128418,4370.512695,4418.846191,4254.230957,4420.256348
1698668186.74802,0.0,4311.025879,4375.641113,4298.077148,4351.666504,4393.717773,4403.589844,4415.512695,4471.922852,4425.897461,4374.871582,4413.717773,4218.846191,4415.897461
