type,marker_value,duration,timestamp
phase_Meditating_cube,recording,8.003424,1698668142.280213
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668142.280213,0.0,4309.487305,4367.179688,4292.307617,4344.743652,4387.820313,4399.102539,4410.769043,4459.615234,4415.0,4372.179688,4411.666504,4166.538574,4411.025879
1698668142.288021,0.0,4309.743652,4369.615234,4286.153809,4343.974121,4390.256348,4398.974121,4413.461426,4463.077148,4420.384766,4367.94873,4406.025879,4157.05127,4410.256348
1698668142.295829,0.0,4310.897461,4373.846191,4293.589844,4351.025879,4389.871582,4395.769043,4409.871582,4458.974121,4418.461426,4363.974121,4410.641113,4161.666504,4412.307617
1698668142.303638,0.0,4307.692383,4367.05127,4287.307617,4345.769043,4388.205078,4398.461426,4416.153809,4465.384766,4417.692383,4369.230957,4407.563965,4163.205078,4403.974121
1698668142.311446,0.0,4310.769043,4372.05127,4288.974121,4345.769043,4387.820313,4398.846191,4416.538574,4465.769043,4418.333496,4370.256348,4407.05127,4161.538574,4408.077148
1698668142.319254,0.0,4312.820313,4371.410156,4293.717773,4347.692383,4388.333496,4396.410156,4411.025879,4461.410156,4419.743652,4366.282227,4411.153809,4168.846191,4411.025879
1698668142.327062,0.0,4310.256348,4369.230957,4290.384766,4342.94873,4390.384766,4396.538574,4411.025879,4462.692383,4424.615234,4368.077148,4411.153809,4159.487305,4409.871582
1698668142.33487,0.0,4308.589844,4368.974121,4291.153809,4343.461426,4390.256348,4394.487305,4411.794922,4465.897461,4425.641113,4370.769043,4412.436035,4162.436035,4407.307617
1698668142.342679,0.0,4307.692383,4371.025879,4287.563965,4345.256348,4389.230957,4393.077148,4412.563965,4464.487305,4421.666504,4370.897461,4409.102539,4164.230957,4404.871582
1698668142.350487,0.0,4309.487305,4372.563965,4288.205078,4345.769043,4389.230957,4394.871582,4415.0,4464.102539,4426.538574,4373.461426,4408.846191,4159.230957,4405.897461
1698668142.358295,0.0,4306.794922,4370.384766,4293.461426,4344.871582,4389.102539,4397.563965,4415.128418,4466.666504,4431.025879,4376.025879,4411.282227,4164.230957,4403.717773
1698668142.366103,0.0,4305.0,4370.256348,4290.641113,4342.820313,4389.871582,4396.922852,4412.307617,4466.922852,4424.743652,4373.333496,4409.487305,4160.128418,4403.333496
1698668142.373912,0.0,4310.512695,4368.846191,4288.717773,4342.820313,4388.461426,4394.102539,4410.512695,4467.563965,4422.05127,4369.358887,4409.743652,4163.846191,4404.743652
1698668142.38172,0.0,4309.615234,4371.666504,4290.256348,4341.794922,4388.461426,4397.563965,4412.436035,4468.717773,4427.05127,4370.897461,4405.897461,4163.589844,4403.333496
1698668142.389528,0.0,4307.94873,4372.436035,4290.0,4340.897461,4389.487305,4400.384766,4412.436035,4473.717773,4424.743652,4369.743652,4404.615234,4155.512695,4402.692383
1698668142.397336,0.0,4310.256348,4369.102539,4285.512695,4342.692383,4388.589844,4398.077148,4411.794922,4474.102539,4422.307617,4368.333496,4409.615234,4161.794922,4402.436035
1698668142.405145,0.0,4308.589844,4371.794922,4282.179688,4343.589844,4390.0,4399.743652,4413.846191,4468.077148,4425.769043,4370.0,4410.769043,4159.487305,4400.641113
1698668142.412953,0.0,4308.461426,4373.077148,4289.230957,4343.461426,4392.820313,4402.05127,4411.794922,4471.666504,4423.461426,4367.05127,4409.230957,4156.282227,4399.358887
1698668142.420761,0.0,4308.846191,4370.384766,4292.05127,4345.0,4392.05127,4398.205078,4410.384766,4474.743652,4423.333496,4368.461426,4406.538574,4162.563965,4402.307617
1698668142.428569,0.0,4307.307617,4370.512695,4289.871582,4345.641113,4389.615234,4396.025879,4413.846191,4469.871582,4425.769043,4368.717773,4406.410156,4159.230957,4404.102539
1698668142.436377,0.0,4304.102539,4373.077148,4288.717773,4346.282227,4388.333496,4395.512695,4414.358887,4468.589844,4422.820313,4365.512695,4408.717773,4156.794922,4399.743652
1698668142.444186,0.0,4301.794922,4371.922852,4283.589844,4343.461426,4386.794922,4397.692383,4413.077148,4472.563965,4419.743652,4365.384766,4406.282227,4162.179688,4396.794922
1698668142.451994,0.0,4307.179688,4372.307617,4288.846191,4341.538574,4386.538574,4401.282227,4412.436035,4471.538574,4419.487305,4363.846191,4403.846191,4160.384766,4397.179688
1698668142.459802,0.0,4307.94873,4377.179688,4293.205078,4344.102539,4388.461426,4400.128418,4414.358887,4466.922852,4423.461426,4366.025879,4403.077148,4158.333496,4397.179688
1698668142.46761,0.0,4307.820313,4376.282227,4286.410156,4343.589844,4388.846191,4397.436035,4415.384766,4467.94873,4419.358887,4366.666504,4403.077148,4164.102539,4396.282227
1698668142.475418,0.0,4312.179688,4372.820313,4285.256348,4342.692383,4388.333496,4396.153809,4410.384766,4471.025879,4413.589844,4365.0,4406.282227,4166.153809,4397.179688
1698668142.483227,0.0,4306.794922,4375.256348,4284.743652,4342.94873,4391.025879,4398.461426,4410.128418,4470.128418,4418.461426,4366.666504,4403.846191,4159.487305,4398.205078
1698668142.491035,0.0,4303.461426,4375.384766,4286.538574,4342.563965,4393.077148,4398.461426,4412.820313,4470.128418,4420.256348,4366.794922,4401.282227,4152.692383,4397.820313
1698668142.498843,0.0,4307.563965,4370.641113,4286.153809,4342.436035,4389.743652,4396.538574,4411.794922,4472.94873,4416.538574,4366.025879,4402.94873,4164.615234,4398.974121
1698668142.506651,0.0,4307.179688,4374.615234,4281.025879,4340.769043,4389.487305,4399.358887,4412.307617,4470.641113,4417.563965,4363.974121,4401.025879,4177.692383,4398.461426
1698668142.514459,0.0,4306.538574,4377.05127,4286.025879,4342.436035,4390.769043,4398.846191,4411.922852,4467.05127,4419.358887,4363.717773,4403.205078,4172.563965,4397.94873
1698668142.522268,0.0,4307.307617,4373.333496,4286.282227,4344.743652,4386.794922,4398.205078,4413.077148,4469.230957,4417.563965,4365.128418,4405.384766,4161.794922,4401.410156
1698668142.530076,0.0,4309.615234,4373.461426,4283.846191,4345.0,4385.0,4399.487305,4415.769043,4468.974121,4415.384766,4363.846191,4400.897461,4156.538574,4401.666504
1698668142.537884,0.0,4306.794922,4376.025879,4288.589844,4345.897461,4388.461426,4396.922852,4412.692383,4465.897461,4416.922852,4363.205078,4397.307617,4163.461426,4399.871582
1698668142.545692,0.0,4303.461426,4374.358887,4288.205078,4343.717773,4388.846191,4397.563965,4412.05127,4466.538574,4415.897461,4361.282227,4399.487305,4167.820313,4398.589844
1698668142.553501,0.0,4310.0,4370.128418,4288.974121,4342.820313,4387.94873,4400.256348,4416.410156,4466.922852,4414.358887,4358.589844,4404.487305,4161.025879,4400.0
1698668142.561309,0.0,4308.077148,4375.128418,4288.589844,4342.563965,4390.641113,4400.641113,4417.05127,4465.512695,4416.282227,4360.256348,4400.641113,4161.538574,4402.94873
1698668142.569117,0.0,4303.717773,4378.205078,4286.410156,4342.307617,4389.358887,4399.102539,4415.256348,4464.743652,4414.358887,4361.025879,4396.025879,4163.461426,4398.974121
1698668142.576925,0.0,4304.871582,4374.102539,4288.717773,4345.641113,4386.282227,4396.282227,4415.769043,4463.205078,4414.102539,4360.128418,4401.410156,4166.922852,4398.077148
1698668142.584734,0.0,4303.717773,4375.897461,4286.794922,4344.230957,4387.820313,4399.487305,4416.922852,4463.589844,4415.0,4357.692383,4403.589844,4171.538574,4400.769043
