type,marker_value,duration,timestamp
phase_Meditating_cube,recording_eyes_closed,7.995616,1698668157.28761
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668157.28761,0.0,4331.282227,4363.077148,4284.615234,4346.922852,4392.307617,4399.102539,4412.436035,4469.743652,4415.897461,4363.333496,4411.282227,4174.230957,4422.692383
1698668157.295418,0.0,4312.179688,4366.538574,4286.282227,4345.256348,4389.358887,4397.05127,4412.94873,4459.487305,4414.230957,4362.692383,4415.769043,4172.563965,4418.717773
1698668157.303226,0.0,4299.102539,4372.436035,4294.871582,4346.410156,4388.589844,4397.692383,4415.897461,4445.897461,4415.0,4365.256348,4413.974121,4168.589844,4415.384766
1698668157.311034,0.0,4313.974121,4369.615234,4300.512695,4347.179688,4390.0,4400.641113,4415.897461,4461.410156,4419.871582,4367.563965,4407.05127,4161.153809,4414.871582
1698668157.318843,0.0,4318.205078,4371.153809,4295.128418,4349.743652,4388.589844,4401.282227,4412.436035,4469.743652,4419.487305,4365.256348,4408.461426,4176.410156,4417.307617
1698668157.326651,0.0,4310.256348,4374.487305,4293.077148,4350.769043,4387.563965,4400.384766,4412.179688,4461.794922,4418.717773,4363.589844,4415.384766,4192.05127,4416.410156
1698668157.334459,0.0,4314.358887,4366.794922,4296.538574,4347.05127,4390.512695,4403.461426,4411.922852,4468.589844,4421.282227,4364.615234,4415.256348,4176.410156,4412.692383
1698668157.342267,0.0,4326.922852,4357.307617,4290.384766,4344.487305,4391.153809,4402.94873,4407.563965,4477.179688,4423.205078,4365.512695,4414.487305,4160.0,4416.025879
1698668157.350076,0.0,4323.717773,4362.692383,4283.717773,4345.512695,4390.897461,4396.153809,4410.769043,4465.0,4420.769043,4367.820313,4417.179688,4159.102539,4418.974121
1698668157.357884,0.0,4312.05127,4377.179688,4292.563965,4347.94873,4393.077148,4395.897461,4417.307617,4454.871582,4418.333496,4368.974121,4416.282227,4179.615234,4416.025879
1698668157.365692,0.0,4307.307617,4377.307617,4298.589844,4348.846191,4392.820313,4401.025879,4416.153809,4459.102539,4423.205078,4367.94873,4415.256348,4203.077148,4411.922852
1698668157.3735,0.0,4307.94873,4372.820313,4292.94873,4347.563965,4389.615234,4400.384766,4412.820313,4462.05127,4426.282227,4369.358887,4415.128418,4186.922852,4412.05127
1698668157.381308,0.0,4315.256348,4372.179688,4286.922852,4348.974121,4389.230957,4398.077148,4412.94873,4467.820313,4424.102539,4372.563965,4416.666504,4166.922852,4415.384766
1698668157.389117,0.0,4315.0,4371.538574,4286.666504,4348.974121,4389.487305,4399.102539,4415.0,4467.94873,4424.615234,4372.307617,4418.846191,4178.077148,4411.922852
1698668157.396925,0.0,4310.769043,4371.282227,4292.692383,4344.615234,4386.282227,4402.05127,4414.358887,4460.897461,4427.692383,4372.563965,4416.282227,4206.025879,4408.461426
1698668157.404733,0.0,4321.153809,4366.410156,4296.153809,4347.05127,4385.897461,4404.230957,4410.0,4469.230957,4427.692383,4373.333496,4412.563965,4202.94873,4410.256348
1698668157.412541,0.0,4322.179688,4367.820313,4293.974121,4350.897461,4389.358887,4403.333496,4411.025879,4477.94873,4425.256348,4370.897461,4411.922852,4173.205078,4410.384766
1698668157.420349,0.0,4305.769043,4378.205078,4299.358887,4348.461426,4391.282227,4400.128418,4417.179688,4469.487305,4426.538574,4370.256348,4413.205078,4182.563965,4406.410156
1698668157.428158,0.0,4306.282227,4379.487305,4305.384766,4347.307617,4390.641113,4397.307617,4415.384766,4467.94873,4424.871582,4368.077148,4408.974121,4207.692383,4402.436035
1698668157.435966,0.0,4319.230957,4370.256348,4298.717773,4348.589844,4389.871582,4399.487305,4410.769043,4482.307617,4423.717773,4368.974121,4406.282227,4180.256348,4403.974121
1698668157.443774,0.0,4321.410156,4367.94873,4298.589844,4348.333496,4389.487305,4405.128418,4412.94873,4485.897461,4426.922852,4371.538574,4409.615234,4141.922852,4408.077148
1698668157.451582,0.0,4321.025879,4370.769043,4299.871582,4349.743652,4389.358887,4406.153809,4412.436035,4480.384766,4424.871582,4368.589844,4408.077148,4156.282227,4407.820313
1698668157.459391,0.0,4314.102539,4372.820313,4293.461426,4348.974121,4392.05127,4402.179688,4410.897461,4474.615234,4423.077148,4370.0,4408.077148,4205.512695,4403.205078
1698668157.467199,0.0,4310.0,4374.615234,4295.128418,4347.563965,4393.846191,4402.179688,4413.461426,4469.230957,4420.641113,4368.589844,4410.512695,4208.974121,4401.922852
1698668157.475007,0.0,4314.615234,4372.563965,4296.410156,4349.102539,4391.794922,4405.128418,4415.128418,4473.717773,4420.384766,4366.282227,4408.077148,4182.05127,4403.333496
1698668157.482815,0.0,4310.512695,4374.102539,4291.794922,4348.846191,4390.512695,4404.230957,4414.230957,4475.128418,4423.589844,4369.871582,4406.922852,4182.563965,4399.487305
1698668157.490623,0.0,4304.615234,4376.153809,4282.307617,4346.538574,4391.282227,4401.282227,4413.717773,4470.384766,4422.05127,4366.922852,4410.384766,4198.717773,4400.512695
1698668157.498432,0.0,4307.179688,4370.769043,4274.871582,4347.563965,4389.871582,4398.974121,4411.282227,4472.436035,4422.436035,4364.743652,4412.94873,4196.538574,4403.589844
1698668157.50624,0.0,4312.436035,4369.487305,4288.589844,4348.846191,4387.94873,4401.410156,4407.563965,4475.256348,4423.589844,4367.05127,4408.333496,4178.333496,4399.358887
1698668157.514048,0.0,4312.436035,4374.487305,4300.769043,4345.384766,4390.256348,4404.615234,4412.179688,4471.922852,4421.410156,4367.692383,4404.615234,4168.846191,4395.897461
1698668157.521856,0.0,4308.077148,4379.102539,4294.102539,4346.025879,4393.589844,4403.077148,4420.0,4465.384766,4420.256348,4366.282227,4405.769043,4188.589844,4398.077148
1698668157.529665,0.0,4308.333496,4377.820313,4288.974121,4348.333496,4391.794922,4402.820313,4417.692383,4464.230957,4419.871582,4365.128418,4408.077148,4202.05127,4402.179688
1698668157.537473,0.0,4310.641113,4372.820313,4285.512695,4346.025879,4389.358887,4404.102539,4412.307617,4473.974121,4421.410156,4368.077148,4411.538574,4180.897461,4402.179688
1698668157.545281,0.0,4310.641113,4374.102539,4285.128418,4346.666504,4390.256348,4404.871582,4414.358887,4480.512695,4423.461426,4368.589844,4411.153809,4159.102539,4398.717773
1698668157.553089,0.0,4308.077148,4378.846191,4290.897461,4347.436035,4391.025879,4404.487305,4417.307617,4474.358887,4422.94873,4366.153809,4407.820313,4174.230957,4397.307617
1698668157.560897,0.0,4305.384766,4380.769043,4286.794922,4344.230957,4391.666504,4402.563965,4414.743652,4465.897461,4420.512695,4367.179688,4407.820313,4201.922852,4398.846191
1698668157.568706,0.0,4295.384766,4385.384766,4280.641113,4344.743652,4391.922852,4401.025879,4416.666504,4458.077148,4419.230957,4367.94873,4411.153809,4197.94873,4400.0
1698668157.576514,0.0,4298.846191,4387.436035,4295.641113,4350.0,4390.0,4404.230957,4421.025879,4461.922852,4417.692383,4367.05127,4405.384766,4177.436035,4398.333496
1698668157.584322,0.0,4314.102539,4376.794922,4298.333496,4350.769043,4389.615234,4406.538574,4417.307617,4475.641113,4417.179688,4367.307617,4400.0,4182.179688,4398.333496
1698668157.59213,0.0,4313.333496,4368.846191,4278.461426,4347.436035,4392.307617,4402.307617,4411.538574,4471.282227,4419.358887,4366.922852,4405.256348,4197.436035,4403.717773
1698668157.599939,0.0,4309.230957,4373.333496,4277.05127,4347.05127,4390.769043,4401.538574,4414.743652,4462.692383,4416.922852,4364.615234,4404.871582,4195.512695,4405.641113
1698668157.607747,0.0,4299.871582,4382.563965,4288.974121,4347.692383,4387.307617,4402.307617,4422.563965,4463.717773,4414.102539,4365.897461,4401.538574,4193.205078,4400.384766
1698668157.615555,0.0,4295.256348,4386.922852,4290.769043,4349.871582,4391.025879,4399.358887,4420.384766,4465.384766,4415.897461,4366.153809,4402.692383,4185.897461,4401.025879
1698668157.623363,0.0,4311.538574,4376.538574,4283.846191,4348.717773,4395.128418,4400.897461,4413.717773,4471.666504,4414.743652,4361.025879,4402.563965,4177.563965,4406.922852
1698668157.631171,0.0,4320.0,4371.538574,4285.256348,4344.615234,4393.333496,4405.0,4414.358887,4478.461426,4415.0,4363.333496,4401.025879,4186.282227,4407.692383
1698668157.63898,0.0,4306.922852,4377.820313,4285.512695,4347.307617,4392.179688,4401.666504,4418.077148,4475.256348,4415.641113,4367.05127,4401.922852,4188.077148,4407.307617
1698668157.646788,0.0,4300.897461,4377.820313,4273.077148,4349.230957,4393.333496,4398.589844,4417.179688,4470.128418,4414.743652,4362.563965,4407.05127,4183.974121,4406.025879
1698668157.654596,0.0,4304.358887,4378.205078,4273.077148,4344.743652,4391.794922,4399.487305,4416.410156,4466.025879,4416.538574,4363.333496,4408.846191,4183.205078,4404.230957
1698668157.662404,0.0,4295.769043,4385.897461,4281.025879,4342.307617,4390.769043,4398.846191,4420.769043,4457.307617,4414.743652,4368.461426,4405.641113,4173.461426,4402.179688
1698668157.670212,0.0,4297.05127,4387.05127,4281.794922,4345.641113,4392.05127,4399.102539,4421.794922,4456.282227,4412.436035,4364.743652,4405.256348,4176.538574,4404.102539
1698668157.678021,0.0,4306.025879,4375.0,4280.769043,4348.846191,4390.897461,4400.384766,4416.794922,4461.922852,4413.717773,4357.307617,4407.436035,4178.205078,4409.615234
1698668157.685829,0.0,4307.05127,4371.794922,4278.589844,4346.538574,4390.512695,4400.256348,4414.358887,4462.436035,4413.205078,4359.871582,4405.0,4171.922852,4409.871582
1698668157.693637,0.0,4309.487305,4378.717773,4282.820313,4344.358887,4392.436035,4397.307617,4415.897461,4462.563965,4413.461426,4365.0,4404.358887,4175.641113,4409.358887
1698668157.701445,0.0,4303.846191,4383.205078,4294.615234,4347.179688,4393.205078,4398.717773,4416.922852,4459.615234,4412.692383,4359.487305,4403.974121,4171.410156,4407.307617
1698668157.709254,0.0,4302.94873,4379.102539,4288.333496,4349.871582,4390.512695,4400.256348,4415.256348,4459.102539,4413.077148,4357.820313,4403.846191,4178.333496,4408.717773
1698668157.717062,0.0,4309.230957,4371.666504,4273.077148,4346.922852,4387.820313,4395.128418,4413.974121,4462.692383,4415.769043,4364.102539,4406.666504,4185.384766,4413.589844
