type,marker_value,duration,timestamp
phase_Parallel_Universes_Road,recording,8.003424,1698668547.761022
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668547.761022,0.0,4331.794922,4396.794922,4295.0,4360.641113,4406.025879,4416.794922,4428.974121,4470.897461,4424.871582,4373.461426,4422.563965,4163.589844,4431.666504
1698668547.76883,0.0,4332.563965,4406.153809,4291.922852,4358.717773,4404.871582,4416.025879,4429.358887,4465.512695,4420.0,4369.358887,4423.333496,4152.563965,4428.333496
1698668547.776638,0.0,4329.743652,4392.820313,4276.410156,4353.846191,4404.358887,4414.102539,4433.077148,4466.025879,4419.743652,4370.0,4431.922852,4158.461426,4424.358887
1698668547.784447,0.0,4329.615234,4398.589844,4277.94873,4358.589844,4404.230957,4415.128418,4432.179688,4464.743652,4424.487305,4374.102539,4428.974121,4159.743652,4434.102539
1698668547.792255,0.0,4335.128418,4395.641113,4289.871582,4357.307617,4405.384766,4414.230957,4431.922852,4471.666504,4419.358887,4367.05127,4422.563965,4162.05127,4424.871582
1698668547.800063,0.0,4334.487305,4393.589844,4288.077148,4359.358887,4406.153809,4414.487305,4427.692383,4469.871582,4420.384766,4367.563965,4426.025879,4158.717773,4423.589844
1698668547.807871,0.0,4324.743652,4397.05127,4270.384766,4356.666504,4405.897461,4419.871582,4429.230957,4461.410156,4418.974121,4366.025879,4424.871582,4142.692383,4434.615234
1698668547.815679,0.0,4342.94873,4376.666504,4301.410156,4360.384766,4405.0,4411.282227,4426.794922,4467.179688,4418.205078,4368.589844,4428.717773,4169.487305,4424.487305
1698668547.823488,0.0,4348.205078,4374.871582,4306.922852,4364.102539,4405.512695,4408.974121,4423.461426,4475.0,4431.666504,4383.589844,4420.384766,4205.897461,4412.307617
1698668547.831296,0.0,4331.410156,4390.769043,4274.487305,4359.615234,4405.384766,4415.256348,4427.436035,4472.179688,4431.538574,4383.974121,4417.307617,4240.512695,4428.205078
1698668547.839104,0.0,4327.820313,4391.282227,4282.94873,4363.077148,4403.205078,4410.897461,4425.512695,4465.769043,4434.230957,4386.282227,4426.794922,4253.589844,4438.205078
1698668547.846913,0.0,4327.436035,4394.487305,4287.436035,4360.384766,4404.743652,4412.436035,4426.666504,4469.743652,4442.05127,4388.717773,4414.358887,4215.0,4426.666504
1698668547.854721,0.0,4334.615234,4396.794922,4291.538574,4361.666504,4405.769043,4411.794922,4424.743652,4473.333496,4434.358887,4383.077148,4416.153809,4219.358887,4430.512695
1698668547.862529,0.0,4326.410156,4390.897461,4282.820313,4363.333496,4403.589844,4409.871582,4425.0,4469.871582,4437.94873,4388.846191,4425.641113,4248.333496,4429.487305
1698668547.870337,0.0,4303.846191,4381.666504,4235.384766,4330.256348,4405.128418,4425.769043,4451.666504,4488.846191,4445.769043,4387.94873,4400.128418,4176.410156,4413.846191
1698668547.878145,0.0,4361.153809,4429.743652,4333.589844,4386.538574,4406.282227,4403.974121,4398.589844,4436.282227,4406.666504,4372.563965,4432.563965,4195.0,4455.512695
1698668547.885954,0.0,4321.153809,4369.230957,4285.897461,4372.307617,4401.794922,4405.769043,4421.922852,4465.384766,4439.358887,4400.769043,4436.025879,4376.922852,4406.666504
1698668547.893762,0.0,4238.589844,4319.358887,4076.410156,4211.922852,4413.589844,4478.205078,4553.333496,4577.692383,4474.487305,4380.256348,4315.128418,3985.0,4364.230957
1698668547.90157,0.0,4414.615234,4513.974121,4404.487305,4384.102539,4416.922852,4418.717773,4391.922852,4383.717773,4325.769043,4302.179688,4415.128418,3901.794922,4504.487305
1698668547.909378,0.0,4391.282227,4429.230957,4463.461426,4451.794922,4395.641113,4374.487305,4350.897461,4385.897461,4361.025879,4376.153809,4512.692383,4510.769043,4439.358887
1698668547.917186,0.0,4261.666504,4310.0,4170.512695,4283.589844,4401.025879,4440.256348,4492.820313,4558.461426,4477.820313,4418.205078,4386.922852,4281.538574,4363.589844
1698668547.924995,0.0,4359.102539,4440.897461,4336.153809,4382.179688,4408.461426,4414.743652,4402.563965,4435.384766,4396.153809,4355.769043,4414.871582,4108.077148,4455.0
1698668547.932803,0.0,4333.974121,4382.05127,4329.487305,4385.512695,4399.487305,4404.102539,4410.256348,4462.179688,4418.974121,4384.615234,4450.384766,4348.205078,4418.333496
1698668547.940611,0.0,4318.205078,4367.820313,4252.05127,4342.179688,4404.102539,4420.0,4443.974121,4507.94873,4450.128418,4395.256348,4409.358887,4144.871582,4421.666504
1698668547.948419,0.0,4344.358887,4408.205078,4312.94873,4379.102539,4407.436035,4407.692383,4410.256348,4451.282227,4415.897461,4375.897461,4423.974121,4176.025879,4432.94873
1698668547.956227,0.0,4316.025879,4382.94873,4282.563965,4350.641113,4407.05127,4414.871582,4436.410156,4479.871582,4442.307617,4389.102539,4423.589844,4340.897461,4411.794922
1698668547.964036,0.0,4331.153809,4404.871582,4300.897461,4364.871582,4407.05127,4414.358887,4426.153809,4469.230957,4448.846191,4392.692383,4421.794922,4294.743652,4429.871582
1698668547.971844,0.0,4330.512695,4388.974121,4289.615234,4361.153809,4405.0,4416.794922,4427.820313,4471.666504,4441.153809,4390.897461,4416.153809,4217.05127,4417.692383
1698668547.979652,0.0,4333.077148,4388.589844,4297.436035,4360.641113,4405.0,4413.717773,4427.820313,4479.102539,4448.974121,4397.179688,4418.717773,4171.282227,4422.563965
1698668547.98746,0.0,4327.436035,4400.256348,4304.615234,4362.563965,4405.897461,4413.205078,4425.897461,4473.589844,4454.102539,4400.384766,4414.615234,4186.794922,4416.922852
1698668547.995268,0.0,4327.179688,4388.077148,4299.102539,4356.794922,4405.641113,4418.717773,4428.205078,4479.615234,4450.641113,4395.641113,4413.205078,4275.769043,4406.794922
1698668548.003077,0.0,4330.897461,4391.153809,4298.974121,4360.384766,4406.025879,4419.871582,4423.974121,4483.333496,4453.974121,4396.153809,4415.384766,4300.512695,4417.94873
1698668548.010885,0.0,4326.410156,4393.846191,4289.615234,4355.897461,4406.538574,4414.871582,4425.897461,4486.282227,4451.794922,4397.179688,4408.461426,4226.794922,4417.05127
1698668548.018693,0.0,4332.179688,4388.461426,4301.153809,4359.615234,4405.0,4410.897461,4426.025879,4487.563965,4452.05127,4402.820313,4414.102539,4172.179688,4412.307617
1698668548.026502,0.0,4331.922852,4394.102539,4297.94873,4360.384766,4403.846191,4419.102539,4430.128418,4486.025879,4455.128418,4400.897461,4412.179688,4182.94873,4415.128418
1698668548.03431,0.0,4332.692383,4391.538574,4295.256348,4357.820313,4404.358887,4416.538574,4427.692383,4484.358887,4451.538574,4395.897461,4411.410156,4265.641113,4417.692383
1698668548.042118,0.0,4328.333496,4393.846191,4298.333496,4358.717773,4406.922852,4411.153809,4423.461426,4485.256348,4454.358887,4400.0,4415.256348,4300.128418,4418.717773
1698668548.049926,0.0,4330.512695,4398.717773,4295.512695,4359.615234,4408.717773,4415.769043,4431.282227,4489.743652,4451.410156,4396.922852,4411.025879,4225.384766,4413.461426
1698668548.057734,0.0,4339.487305,4387.692383,4299.230957,4361.666504,4407.307617,4416.025879,4433.717773,4493.077148,4449.871582,4398.974121,4410.512695,4170.641113,4410.0
1698668548.065543,0.0,4330.769043,4391.153809,4292.692383,4359.358887,4405.897461,4415.384766,4428.461426,4488.077148,4453.333496,4400.512695,4408.205078,4184.743652,4416.794922
1698668548.073351,0.0,4331.666504,4389.871582,4298.717773,4358.077148,4403.974121,4412.563965,4426.538574,4484.230957,4451.410156,4395.256348,4410.897461,4250.512695,4416.025879
1698668548.081159,0.0,4336.538574,4388.205078,4303.077148,4358.077148,4403.333496,4413.077148,4428.205078,4487.436035,4454.871582,4398.846191,4413.077148,4284.743652,4414.230957
1698668548.088967,0.0,4330.641113,4395.897461,4293.974121,4356.410156,4405.384766,4416.282227,4430.0,4490.128418,4452.436035,4397.94873,4410.0,4224.358887,4417.820313
1698668548.096775,0.0,4327.692383,4387.179688,4299.615234,4356.922852,4405.256348,4412.692383,4428.717773,4487.94873,4448.589844,4398.846191,4415.256348,4184.743652,4414.615234
1698668548.104584,0.0,4328.589844,4393.846191,4297.05127,4357.307617,4405.512695,4415.897461,4429.102539,4482.05127,4453.333496,4399.230957,4411.410156,4191.538574,4415.128418
1698668548.112392,0.0,4333.974121,4400.384766,4296.794922,4358.077148,4405.256348,4413.974121,4427.692383,4483.717773,4452.820313,4393.846191,4414.102539,4247.05127,4416.538574
1698668548.1202,0.0,4327.94873,4392.307617,4294.871582,4358.589844,4402.563965,4407.820313,4424.743652,4487.692383,4452.94873,4397.563965,4424.487305,4295.641113,4417.307617
1698668548.128008,0.0,4324.230957,4392.820313,4288.974121,4356.922852,4403.077148,4413.077148,4428.846191,4482.05127,4451.282227,4397.05127,4417.307617,4239.358887,4418.717773
1698668548.135816,0.0,4337.436035,4390.512695,4298.589844,4358.333496,4404.615234,4412.436035,4430.641113,4482.94873,4449.871582,4396.538574,4415.384766,4201.153809,4415.384766
1698668548.143625,0.0,4336.794922,4393.589844,4292.05127,4358.461426,4406.794922,4411.282227,4429.487305,4487.692383,4451.794922,4399.615234,4415.641113,4217.820313,4418.846191
1698668548.151433,0.0,4331.922852,4392.179688,4291.410156,4357.436035,4407.436035,4414.615234,4430.512695,4484.615234,4445.769043,4394.230957,4415.256348,4235.769043,4420.256348
1698668548.159241,0.0,4332.820313,4390.128418,4302.94873,4358.461426,4404.615234,4414.358887,4427.307617,4483.974121,4448.077148,4396.794922,4418.846191,4248.205078,4417.563965
1698668548.167049,0.0,4330.256348,4395.512695,4294.871582,4357.94873,4404.487305,4415.897461,4426.538574,4484.615234,4449.743652,4398.077148,4413.333496,4230.0,4422.05127
1698668548.174858,0.0,4337.94873,4385.897461,4297.179688,4359.615234,4405.0,4414.230957,4426.794922,4486.922852,4444.743652,4391.410156,4412.307617,4235.0,4421.794922
1698668548.182666,0.0,4335.384766,4389.487305,4300.769043,4358.077148,4405.897461,4413.974121,4427.307617,4487.436035,4449.358887,4392.563965,4412.692383,4246.282227,4421.282227
1698668548.190474,0.0,4327.05127,4396.922852,4297.307617,4354.615234,4405.897461,4415.384766,4432.563965,4486.282227,4450.0,4396.666504,4413.717773,4230.641113,4418.846191
1698668548.198282,0.0,4334.615234,4387.307617,4295.0,4358.974121,4405.769043,4412.692383,4432.94873,4487.436035,4448.589844,4399.871582,4419.615234,4217.436035,4416.666504
1698668548.206091,0.0,4334.743652,4390.641113,4285.897461,4359.871582,4408.333496,4414.871582,4430.128418,4484.358887,4448.333496,4395.512695,4415.0,4210.256348,4421.666504
1698668548.213899,0.0,4332.820313,4391.794922,4295.384766,4358.333496,4407.692383,4415.128418,4431.153809,4486.410156,4448.846191,4390.641113,4414.743652,4254.230957,4419.102539
1698668548.221707,0.0,4333.205078,4392.307617,4299.230957,4359.358887,4405.256348,4414.230957,4431.538574,4487.05127,4453.717773,4396.538574,4419.102539,4282.179688,4416.025879
1698668548.229515,0.0,4336.794922,4391.794922,4292.563965,4356.922852,4407.179688,4415.897461,4426.922852,4483.974121,4448.077148,4396.666504,4414.615234,4230.769043,4419.230957
1698668548.237323,0.0,4340.384766,4381.538574,4301.282227,4355.128418,4408.205078,4412.94873,4425.0,4489.743652,4446.025879,4398.205078,4415.128418,4197.05127,4421.025879
