type,marker_value,duration,timestamp
phase_Parallel_Universes_Road,recording_eyes_closed,8.003424,1698668562.768419
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668562.768419,0.0,4330.769043,4385.769043,4295.256348,4359.102539,4406.153809,4414.358887,4430.512695,4478.333496,4433.077148,4385.769043,4421.153809,4216.153809,4423.717773
1698668562.776227,0.0,4329.743652,4392.94873,4289.615234,4359.358887,4405.641113,4411.794922,4433.461426,4476.282227,4433.333496,4384.102539,4419.102539,4230.128418,4428.717773
1698668562.784035,0.0,4332.05127,4392.05127,4295.641113,4360.769043,4406.538574,4407.692383,4433.974121,4477.820313,4436.025879,4387.436035,4425.256348,4275.128418,4423.205078
1698668562.791844,0.0,4327.820313,4396.666504,4291.410156,4357.436035,4405.769043,4412.05127,4433.333496,4476.153809,4436.794922,4386.410156,4421.538574,4257.307617,4419.487305
1698668562.799652,0.0,4333.461426,4389.871582,4295.128418,4357.436035,4405.641113,4412.692383,4433.589844,4475.384766,4430.641113,4381.153809,4420.769043,4221.153809,4422.05127
1698668562.80746,0.0,4331.922852,4387.179688,4296.538574,4361.538574,4409.743652,4411.282227,4431.153809,4477.94873,4434.102539,4386.666504,4425.0,4215.897461,4426.538574
1698668562.815268,0.0,4327.436035,4396.025879,4289.615234,4361.922852,4409.615234,4413.846191,4429.102539,4478.589844,4435.128418,4388.333496,4420.641113,4224.487305,4424.615234
1698668562.823076,0.0,4334.743652,4387.820313,4292.94873,4363.205078,4403.461426,4411.025879,4429.871582,4480.512695,4433.589844,4388.333496,4420.384766,4261.922852,4422.05127
1698668562.830885,0.0,4332.563965,4388.974121,4286.666504,4362.436035,4402.94873,4410.128418,4433.077148,4477.436035,4434.358887,4388.205078,4418.589844,4256.282227,4426.410156
1698668562.838693,0.0,4328.846191,4393.717773,4288.589844,4360.769043,4406.410156,4411.922852,4432.820313,4473.589844,4431.666504,4384.358887,4418.717773,4230.384766,4425.769043
1698668562.846501,0.0,4333.205078,4386.025879,4298.974121,4362.436035,4406.025879,4413.461426,4430.0,4480.256348,4434.871582,4385.769043,4421.794922,4209.871582,4422.05127
1698668562.854309,0.0,4331.922852,4388.461426,4291.922852,4362.05127,4404.871582,4417.563965,4431.922852,4479.743652,4436.282227,4390.512695,4419.743652,4219.615234,4426.025879
1698668562.862117,0.0,4326.153809,4406.922852,4284.487305,4360.0,4406.666504,4420.128418,4432.179688,4469.487305,4431.666504,4388.717773,4418.589844,4279.615234,4433.589844
1698668562.869926,0.0,4322.307617,4413.333496,4285.0,4356.666504,4408.974121,4421.794922,4430.256348,4470.641113,4426.666504,4375.512695,4420.897461,4227.307617,4434.230957
1698668562.877734,0.0,4331.025879,4383.077148,4302.307617,4356.666504,4404.102539,4414.358887,4429.358887,4484.230957,4427.94873,4374.102539,4432.692383,4172.179688,4423.461426
1698668562.885542,0.0,4337.692383,4373.077148,4308.846191,4359.743652,4399.230957,4408.589844,4428.077148,4485.769043,4435.512695,4386.538574,4435.897461,4227.692383,4422.94873
1698668562.89335,0.0,4330.769043,4391.794922,4293.077148,4360.0,4402.436035,4414.358887,4428.717773,4476.666504,4430.769043,4382.563965,4424.487305,4222.436035,4430.0
1698668562.901158,0.0,4331.282227,4385.0,4295.128418,4361.538574,4404.871582,4411.153809,4431.922852,4478.589844,4428.205078,4381.153809,4427.692383,4193.461426,4424.615234
1698668562.908967,0.0,4330.769043,4386.666504,4295.0,4360.256348,4404.230957,4410.897461,4434.743652,4480.384766,4434.871582,4387.307617,4426.794922,4188.461426,4428.974121
1698668562.916775,0.0,4331.282227,4391.538574,4291.282227,4356.538574,4403.205078,4414.230957,4431.666504,4478.974121,4432.179688,4380.897461,4420.769043,4208.077148,4432.179688
1698668562.924583,0.0,4335.128418,4381.794922,4296.922852,4360.0,4401.666504,4410.769043,4427.307617,4480.128418,4432.94873,4383.333496,4426.153809,4243.205078,4424.358887
1698668562.932391,0.0,4329.358887,4390.384766,4290.512695,4362.179688,4403.589844,4414.358887,4429.487305,4474.358887,4435.256348,4385.897461,4423.717773,4220.128418,4426.922852
1698668562.9402,0.0,4328.205078,4390.128418,4292.179688,4359.871582,4404.871582,4413.461426,4429.487305,4477.692383,4431.282227,4380.128418,4421.538574,4204.358887,4426.666504
1698668562.948008,0.0,4328.333496,4387.692383,4291.922852,4358.589844,4404.487305,4411.282227,4430.769043,4482.307617,4435.769043,4385.128418,4421.666504,4206.922852,4426.666504
1698668562.955816,0.0,4333.077148,4393.846191,4288.205078,4359.615234,4405.256348,4414.358887,4435.128418,4476.025879,4435.0,4383.461426,4419.487305,4198.846191,4427.94873
1698668562.963624,0.0,4336.025879,4386.282227,4294.487305,4360.256348,4404.230957,4412.820313,4432.05127,4477.692383,4434.358887,4381.025879,4424.615234,4225.641113,4425.0
1698668562.971433,0.0,4327.563965,4387.820313,4288.589844,4356.538574,4402.307617,4413.205078,4427.94873,4481.538574,4436.410156,4383.333496,4422.94873,4222.820313,4425.641113
1698668562.979241,0.0,4333.333496,4388.589844,4294.102539,4357.05127,4404.230957,4412.179688,4428.333496,4477.179688,4430.897461,4379.102539,4423.077148,4203.461426,4423.974121
1698668562.987049,0.0,4338.077148,4387.05127,4299.230957,4361.025879,4407.436035,4411.025879,4429.615234,4476.922852,4437.05127,4383.846191,4426.410156,4201.666504,4425.512695
1698668562.994857,0.0,4331.922852,4391.153809,4289.230957,4360.128418,4406.025879,4412.436035,4431.666504,4479.358887,4440.512695,4386.538574,4421.922852,4200.512695,4428.461426
1698668563.002665,0.0,4330.512695,4385.256348,4292.94873,4360.128418,4403.846191,4410.256348,4430.512695,4474.487305,4435.128418,4384.487305,4421.666504,4222.179688,4426.025879
1698668563.010474,0.0,4327.692383,4391.794922,4291.922852,4359.743652,4405.897461,4411.025879,4430.128418,4467.94873,4431.666504,4384.871582,4418.846191,4220.512695,4427.692383
1698668563.018282,0.0,4332.692383,4392.179688,4292.692383,4358.589844,4406.153809,4412.692383,4432.436035,4474.358887,4428.077148,4383.461426,4418.333496,4207.692383,4425.769043
1698668563.02609,0.0,4335.384766,4383.717773,4295.128418,4357.94873,4403.461426,4412.692383,4432.307617,4481.025879,4434.871582,4386.025879,4424.230957,4211.666504,4423.461426
1698668563.033898,0.0,4329.102539,4388.717773,4288.974121,4354.615234,4404.358887,4414.743652,4431.666504,4475.769043,4435.384766,4384.487305,4421.666504,4202.05127,4426.153809
1698668563.041706,0.0,4332.820313,4385.769043,4294.743652,4357.436035,4407.05127,4412.307617,4430.512695,4480.0,4431.794922,4385.256348,4417.94873,4212.820313,4423.461426
1698668563.049515,0.0,4333.589844,4391.153809,4291.794922,4361.666504,4406.666504,4412.820313,4433.205078,4485.769043,4437.05127,4389.358887,4415.256348,4214.487305,4425.0
1698668563.057323,0.0,4332.820313,4390.0,4289.358887,4359.871582,4404.615234,4414.102539,4435.512695,4477.307617,4435.512695,4383.077148,4418.589844,4204.871582,4427.94873
1698668563.065131,0.0,4335.128418,4380.641113,4294.615234,4358.846191,4405.384766,4411.282227,4428.846191,4473.846191,4435.512695,4383.717773,4422.94873,4212.436035,4424.871582
1698668563.072939,0.0,4331.794922,4392.179688,4289.358887,4359.358887,4406.410156,4414.102539,4427.179688,4474.615234,4435.769043,4386.153809,4416.538574,4198.846191,4423.077148
1698668563.080747,0.0,4337.05127,4391.410156,4295.769043,4361.922852,4403.974121,4412.05127,4432.692383,4477.692383,4431.794922,4383.717773,4421.922852,4210.512695,4422.692383
1698668563.088556,0.0,4337.436035,4388.205078,4297.436035,4360.0,4406.153809,4409.230957,4432.563965,4480.512695,4435.641113,4384.871582,4427.05127,4223.717773,4427.820313
1698668563.096364,0.0,4330.512695,4389.871582,4291.922852,4355.769043,4406.538574,4411.153809,4428.717773,4478.461426,4434.615234,4383.461426,4419.358887,4202.436035,4426.794922
1698668563.104172,0.0,4330.641113,4383.205078,4294.871582,4359.230957,4401.153809,4411.025879,4428.461426,4478.461426,4434.615234,4385.769043,4419.487305,4205.0,4423.205078
1698668563.11198,0.0,4329.615234,4388.461426,4289.743652,4360.0,4403.974121,4413.589844,4431.153809,4478.205078,4436.666504,4384.615234,4420.256348,4206.538574,4428.205078
1698668563.119789,0.0,4334.871582,4386.922852,4293.974121,4357.179688,4406.922852,4410.128418,4430.128418,4478.846191,4432.692383,4381.410156,4421.922852,4212.05127,4423.333496
