type,marker_value,duration,timestamp
phase_Simulated_garden,recording,8.003424,1698668504.495681
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668504.495681,0.0,4333.077148,4390.769043,4283.589844,4357.05127,4404.743652,4414.487305,4428.589844,4465.256348,4418.974121,4367.563965,4424.358887,4158.077148,4427.692383
1698668504.503489,0.0,4330.128418,4392.307617,4282.563965,4360.384766,4404.743652,4412.05127,4430.512695,4465.641113,4423.974121,4369.487305,4427.94873,4167.692383,4428.589844
1698668504.511297,0.0,4327.94873,4394.358887,4277.436035,4357.307617,4404.102539,4416.794922,4428.846191,4466.794922,4420.897461,4368.077148,4422.307617,4153.846191,4428.717773
1698668504.519106,0.0,4335.641113,4386.922852,4290.512695,4359.102539,4401.666504,4413.077148,4422.307617,4466.025879,4419.358887,4371.410156,4425.256348,4163.589844,4430.0
1698668504.526914,0.0,4327.307617,4393.974121,4282.436035,4357.307617,4402.179688,4415.641113,4426.410156,4464.230957,4421.666504,4370.256348,4422.563965,4159.487305,4431.666504
1698668504.534722,0.0,4327.179688,4391.538574,4287.692383,4357.563965,4403.846191,4416.153809,4425.641113,4465.384766,4420.0,4365.384766,4425.0,4156.666504,4427.94873
1698668504.54253,0.0,4327.820313,4388.589844,4292.307617,4358.717773,4403.205078,4414.487305,4424.230957,4465.384766,4424.230957,4369.487305,4426.922852,4165.256348,4429.230957
1698668504.550338,0.0,4328.846191,4392.436035,4278.077148,4354.487305,4403.846191,4413.589844,4430.769043,4462.820313,4422.179688,4367.05127,4421.922852,4153.461426,4430.769043
1698668504.558147,0.0,4335.384766,4388.461426,4282.820313,4358.205078,4405.0,4408.846191,4425.641113,4460.769043,4418.974121,4367.307617,4427.692383,4161.538574,4427.436035
1698668504.565955,0.0,4327.94873,4393.077148,4282.179688,4358.717773,4406.153809,4414.743652,4425.512695,4463.205078,4421.410156,4370.0,4426.666504,4158.077148,4427.436035
1698668504.573763,0.0,4332.94873,4390.256348,4289.102539,4357.820313,4405.641113,4415.256348,4430.897461,4466.538574,4419.615234,4366.282227,4425.0,4154.358887,4425.769043
