type,marker_value,duration,timestamp
phase_Sitting_on_the_chair_in_nature,recording,8.003424,1698668230.575553
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668230.575553,0.0,4322.307617,4376.538574,4296.025879,4355.0,4395.128418,4404.102539,4419.743652,4455.512695,4412.563965,4362.436035,4414.358887,4151.025879,4421.282227
1698668230.583361,0.0,4321.666504,4381.282227,4290.512695,4355.641113,4396.153809,4405.512695,4420.128418,4455.641113,4412.820313,4362.179688,4412.820313,4225.512695,4422.563965
1698668230.591169,0.0,4322.307617,4383.974121,4293.333496,4354.487305,4398.461426,4405.256348,4421.538574,4459.743652,4411.922852,4358.974121,4415.256348,4244.615234,4420.256348
1698668230.598977,0.0,4323.717773,4381.410156,4296.410156,4355.256348,4398.205078,4404.615234,4419.743652,4462.436035,4414.615234,4363.461426,4418.589844,4200.128418,4422.307617
1698668230.606785,0.0,4321.282227,4382.563965,4289.615234,4354.230957,4396.282227,4405.769043,4420.384766,4458.974121,4416.153809,4363.077148,4414.358887,4124.102539,4426.410156
1698668230.614594,0.0,4324.102539,4379.102539,4298.205078,4355.512695,4395.769043,4403.077148,4420.769043,4458.333496,4416.794922,4361.538574,4415.512695,4140.128418,4422.563965
1698668230.622402,0.0,4325.512695,4379.230957,4300.897461,4355.512695,4397.436035,4404.230957,4421.282227,4461.282227,4419.102539,4364.487305,4415.512695,4219.615234,4419.358887
1698668230.63021,0.0,4326.282227,4383.461426,4298.333496,4353.333496,4398.077148,4403.589844,4418.461426,4458.077148,4415.128418,4362.820313,4414.358887,4245.641113,4422.820313
1698668230.638018,0.0,4322.563965,4382.05127,4299.358887,4353.333496,4396.153809,4402.436035,4413.974121,4455.512695,4414.102539,4365.512695,4417.94873,4196.666504,4426.025879
1698668230.645827,0.0,4321.922852,4379.615234,4289.615234,4351.666504,4395.256348,4407.820313,4415.769043,4459.871582,4415.0,4366.922852,4416.153809,4138.589844,4425.256348
1698668230.653635,0.0,4332.436035,4373.589844,4289.615234,4354.871582,4396.025879,4407.692383,4415.512695,4467.05127,4414.743652,4362.692383,4415.897461,4153.461426,4422.94873
1698668230.661443,0.0,4327.179688,4375.256348,4291.666504,4357.436035,4397.436035,4405.384766,4418.077148,4468.717773,4416.410156,4363.589844,4414.743652,4202.436035,4420.128418
1698668230.669251,0.0,4323.333496,4382.820313,4295.769043,4355.512695,4400.256348,4403.974121,4423.077148,4460.897461,4415.384766,4365.256348,4413.974121,4220.128418,4422.179688
1698668230.67706,0.0,4326.025879,4381.922852,4305.256348,4356.025879,4398.974121,4403.717773,4421.410156,4457.307617,4416.282227,4365.897461,4415.769043,4201.922852,4426.153809
1698668230.684868,0.0,4322.179688,4378.461426,4293.717773,4355.512695,4395.641113,4405.256348,4420.384766,4462.307617,4417.05127,4363.717773,4414.615234,4170.128418,4424.871582
1698668230.692676,0.0,4326.410156,4372.436035,4285.128418,4356.538574,4396.666504,4400.512695,4419.487305,4462.563965,4413.461426,4363.717773,4419.743652,4165.256348,4424.102539
1698668230.700484,0.0,4322.692383,4376.025879,4292.436035,4356.282227,4398.589844,4399.487305,4417.179688,4462.179688,4415.384766,4368.461426,4418.717773,4189.871582,4424.487305
