type,marker_value,duration,timestamp
phase_Sitting_on_the_chair_in_nature,recording_eyes_closed,8.003424,1698668245.58295
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668245.58295,0.0,4319.487305,4378.717773,4298.846191,4357.563965,4398.974121,4407.94873,4419.230957,4480.128418,4425.769043,4372.05127,4418.974121,4262.820313,4412.692383
1698668245.590758,0.0,4317.692383,4383.461426,4293.589844,4355.641113,4401.153809,4410.769043,4422.692383,4476.410156,4429.743652,4377.307617,4416.025879,4202.436035,4413.333496
1698668245.598566,0.0,4319.871582,4384.615234,4291.153809,4351.025879,4399.230957,4410.0,4422.820313,4481.153809,4425.128418,4372.820313,4419.615234,4187.820313,4411.666504
1698668245.606374,0.0,4315.769043,4384.743652,4297.307617,4353.717773,4399.230957,4408.461426,4420.384766,4482.820313,4425.769043,4373.974121,4421.666504,4245.0,4413.461426
1698668245.614182,0.0,4312.94873,4386.794922,4295.128418,4352.436035,4400.897461,4409.230957,4423.205078,4477.692383,4430.384766,4375.384766,4416.666504,4279.615234,4414.487305
1698668245.621991,0.0,4320.512695,4380.512695,4299.230957,4354.615234,4398.205078,4406.922852,4420.384766,4475.0,4430.0,4371.922852,4421.153809,4267.563965,4412.05127
1698668245.629799,0.0,4320.0,4383.589844,4290.512695,4354.358887,4397.179688,4409.230957,4421.153809,4480.384766,4428.974121,4372.94873,4421.410156,4205.256348,4413.205078
1698668245.637607,0.0,4324.358887,4384.358887,4290.641113,4350.641113,4398.974121,4407.692383,4421.538574,4483.974121,4423.974121,4376.025879,4420.384766,4172.94873,4414.358887
1698668245.645415,0.0,4322.05127,4382.05127,4297.820313,4352.820313,4399.230957,4405.128418,4416.025879,4478.205078,4426.538574,4377.692383,4421.538574,4237.05127,4414.487305
1698668245.653223,0.0,4313.077148,4383.846191,4289.102539,4352.94873,4398.333496,4410.128418,4420.897461,4478.589844,4431.025879,4371.666504,4415.128418,4294.358887,4413.846191
1698668245.661032,0.0,4316.153809,4378.846191,4291.538574,4353.846191,4397.436035,4407.94873,4426.153809,4483.333496,4428.717773,4372.94873,4419.358887,4280.641113,4413.717773
1698668245.66884,0.0,4312.94873,4383.974121,4291.922852,4353.077148,4398.077148,4407.94873,4423.717773,4482.307617,4429.487305,4379.615234,4422.820313,4207.820313,4415.0
1698668245.676648,0.0,4314.743652,4386.666504,4294.102539,4353.205078,4399.358887,4410.128418,4420.0,4478.461426,4428.846191,4375.256348,4420.128418,4163.974121,4414.615234
1698668245.684456,0.0,4319.615234,4382.94873,4300.897461,4356.666504,4399.230957,4407.436035,4422.692383,4477.307617,4431.922852,4373.846191,4419.871582,4225.769043,4414.871582
1698668245.692264,0.0,4315.897461,4387.05127,4291.666504,4352.563965,4398.205078,4409.230957,4429.487305,4481.282227,4432.563965,4373.717773,4416.153809,4288.333496,4413.589844
1698668245.700073,0.0,4320.256348,4382.179688,4292.692383,4352.05127,4399.102539,4407.94873,4422.94873,4483.077148,4428.205078,4373.589844,4419.102539,4282.563965,4410.256348
1698668245.707881,0.0,4317.692383,4381.794922,4295.384766,4354.743652,4402.179688,4408.205078,4420.256348,4481.410156,4428.461426,4375.769043,4418.717773,4215.769043,4412.820313
1698668245.715689,0.0,4316.153809,4383.077148,4294.615234,4351.922852,4401.538574,4408.717773,4425.128418,4480.0,4425.769043,4373.589844,4418.077148,4168.589844,4415.384766
1698668245.723497,0.0,4320.769043,4377.436035,4295.641113,4351.538574,4399.230957,4404.487305,4422.179688,4480.641113,4427.692383,4376.025879,4423.589844,4228.461426,4413.333496
1698668245.731305,0.0,4315.512695,4382.563965,4288.589844,4351.153809,4399.871582,4407.563965,4421.794922,4482.179688,4428.717773,4375.897461,4417.436035,4277.94873,4413.589844
