type,marker_value,duration,timestamp
phase_The_Japanese_creature,recording,7.995616,1698668414.029656
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668414.029656,0.0,4327.179688,4389.871582,4286.538574,4356.153809,4403.589844,4410.0,4424.743652,4472.307617,4420.512695,4376.794922,4426.538574,4221.282227,4423.333496
1698668414.037465,0.0,4324.871582,4392.94873,4281.666504,4358.974121,4405.256348,4411.794922,4427.307617,4472.436035,4421.410156,4375.128418,4422.820313,4144.743652,4426.666504
1698668414.045273,0.0,4325.769043,4385.128418,4280.641113,4357.307617,4405.384766,4415.897461,4425.512695,4466.410156,4418.077148,4370.897461,4417.05127,4108.846191,4426.922852
1698668414.053081,0.0,4328.205078,4384.487305,4286.282227,4358.974121,4404.487305,4413.461426,4423.205078,4464.358887,4423.846191,4378.589844,4424.102539,4177.05127,4425.128418
1698668414.060889,0.0,4322.307617,4396.153809,4276.666504,4356.666504,4405.0,4414.487305,4431.410156,4471.666504,4426.410156,4378.077148,4425.512695,4237.307617,4422.563965
1698668414.068698,0.0,4326.282227,4392.05127,4282.05127,4360.0,4406.025879,4414.102539,4430.256348,4475.256348,4423.589844,4375.512695,4425.256348,4223.077148,4422.436035
1698668414.076506,0.0,4324.871582,4390.0,4280.256348,4358.846191,4406.282227,4413.974121,4427.179688,4473.461426,4428.333496,4381.410156,4420.512695,4153.974121,4427.436035
1698668414.084314,0.0,4323.205078,4391.153809,4279.230957,4353.205078,4405.256348,4412.05127,4427.179688,4471.666504,4426.922852,4377.94873,4420.769043,4107.94873,4425.384766
1698668414.092122,0.0,4324.230957,4389.102539,4286.410156,4356.922852,4405.0,4410.384766,4422.436035,4471.922852,4427.94873,4377.436035,4425.641113,4168.333496,4421.410156
1698668414.09993,0.0,4321.153809,4390.641113,4275.641113,4356.538574,4405.897461,4414.743652,4426.666504,4474.871582,4430.512695,4378.077148,4416.282227,4229.615234,4422.307617
1698668414.107739,0.0,4330.256348,4384.615234,4281.922852,4356.153809,4403.717773,4409.358887,4428.589844,4474.358887,4427.94873,4377.436035,4417.436035,4224.230957,4423.589844
1698668414.115547,0.0,4326.282227,4383.461426,4282.94873,4355.512695,4401.794922,4408.589844,4427.563965,4472.692383,4430.512695,4381.794922,4421.538574,4163.717773,4422.692383
1698668414.123355,0.0,4322.692383,4388.589844,4277.179688,4356.922852,4405.128418,4414.230957,4430.897461,4472.436035,4426.794922,4377.179688,4417.563965,4107.436035,4418.205078
1698668414.131163,0.0,4329.615234,4389.230957,4288.717773,4361.538574,4407.179688,4410.256348,4427.05127,4470.641113,4427.05127,4379.358887,4421.153809,4159.743652,4420.897461
1698668414.138971,0.0,4321.025879,4394.487305,4280.128418,4354.102539,4404.871582,4411.666504,4427.94873,4473.846191,4431.410156,4383.333496,4418.077148,4224.230957,4424.615234
1698668414.14678,0.0,4328.205078,4388.589844,4279.743652,4353.461426,4402.307617,4413.974121,4429.487305,4480.0,4427.563965,4378.717773,4419.615234,4229.230957,4418.974121
1698668414.154588,0.0,4333.589844,4384.230957,4283.589844,4359.102539,4402.436035,4413.589844,4425.769043,4478.717773,4432.05127,4380.641113,4422.179688,4181.153809,4418.589844
1698668414.162396,0.0,4324.743652,4391.153809,4278.461426,4353.974121,4403.205078,4414.102539,4424.615234,4476.666504,4431.666504,4377.692383,4417.692383,4114.615234,4421.922852
1698668414.170204,0.0,4326.666504,4388.461426,4289.487305,4355.512695,4402.94873,4409.487305,4422.179688,4479.358887,4427.820313,4377.179688,4421.538574,4147.94873,4419.358887
1698668414.178012,0.0,4325.641113,4388.077148,4281.025879,4359.102539,4404.743652,4413.077148,4427.820313,4480.256348,4429.743652,4380.0,4418.077148,4211.153809,4417.692383
1698668414.185821,0.0,4327.436035,4385.769043,4279.358887,4359.230957,4405.641113,4415.641113,4431.153809,4478.589844,4427.820313,4377.436035,4420.256348,4232.307617,4418.974121
1698668414.193629,0.0,4324.487305,4391.025879,4287.436035,4359.358887,4405.128418,4412.692383,4426.025879,4478.077148,4433.461426,4382.05127,4424.871582,4192.307617,4422.307617
1698668414.201437,0.0,4320.128418,4398.333496,4277.820313,4354.102539,4404.743652,4413.333496,4426.153809,4478.461426,4433.077148,4380.641113,4417.05127,4108.461426,4421.410156
1698668414.209245,0.0,4331.025879,4385.769043,4283.333496,4356.538574,4402.94873,4411.153809,4425.128418,4479.358887,4428.589844,4378.461426,4421.153809,4129.102539,4417.692383
1698668414.217054,0.0,4329.230957,4388.333496,4278.077148,4358.846191,4402.94873,4413.974121,4426.538574,4481.410156,4434.230957,4380.641113,4421.794922,4210.641113,4421.282227
1698668414.224862,0.0,4327.179688,4391.794922,4276.538574,4357.179688,4403.077148,4415.0,4425.897461,4480.256348,4431.410156,4376.538574,4419.743652,4240.641113,4422.307617
1698668414.23267,0.0,4329.102539,4384.743652,4286.282227,4357.820313,4403.077148,4409.230957,4422.820313,4477.179688,4429.230957,4381.025879,4421.922852,4198.205078,4418.333496
1698668414.240478,0.0,4323.846191,4387.179688,4276.538574,4353.974121,4406.153809,4411.538574,4428.461426,4476.794922,4430.897461,4383.333496,4414.102539,4115.641113,4417.05127
1698668414.248287,0.0,4327.692383,4387.179688,4283.333496,4356.538574,4405.641113,4412.05127,4426.538574,4475.897461,4431.153809,4378.846191,4419.615234,4127.94873,4418.717773
1698668414.256095,0.0,4324.487305,4394.743652,4282.820313,4358.205078,4403.333496,4413.205078,4424.615234,4475.512695,4434.743652,4381.922852,4424.102539,4199.615234,4422.05127
1698668414.263903,0.0,4325.0,4392.820313,4275.897461,4354.102539,4404.358887,4412.820313,4429.230957,4479.102539,4429.615234,4381.666504,4418.077148,4228.717773,4418.974121
1698668414.271711,0.0,4332.436035,4384.871582,4283.974121,4356.410156,4405.769043,4409.487305,4426.153809,4481.282227,4429.615234,4380.641113,4420.384766,4200.769043,4416.794922
1698668414.279519,0.0,4323.077148,4393.974121,4276.025879,4356.282227,4406.410156,4413.974121,4425.0,4479.358887,4433.461426,4378.717773,4417.05127,4129.615234,4420.0
1698668414.287328,0.0,4324.487305,4390.641113,4280.769043,4356.410156,4405.0,4412.179688,4424.871582,4476.282227,4429.102539,4378.846191,4416.410156,4119.230957,4419.102539
1698668414.295136,0.0,4327.94873,4386.025879,4283.333496,4356.794922,4404.358887,4411.666504,4424.743652,4476.538574,4431.794922,4384.487305,4415.897461,4187.179688,4418.205078
1698668414.302944,0.0,4323.077148,4391.410156,4273.589844,4353.077148,4404.487305,4416.794922,4427.307617,4478.974121,4432.307617,4381.153809,4413.077148,4237.436035,4417.563965
1698668414.310752,0.0,4324.743652,4386.153809,4280.769043,4354.230957,4403.589844,4409.743652,4425.128418,4480.128418,4432.05127,4379.871582,4420.384766,4216.922852,4418.589844
1698668414.31856,0.0,4323.974121,4386.025879,4276.666504,4352.692383,4402.563965,4407.94873,4428.333496,4479.743652,4434.102539,4380.897461,4418.205078,4133.589844,4419.487305
1698668414.326369,0.0,4329.102539,4390.0,4280.384766,4354.358887,4402.179688,4410.769043,4427.436035,4480.0,4429.615234,4378.974121,4417.820313,4105.128418,4417.179688
1698668414.334177,0.0,4327.05127,4390.384766,4285.0,4358.589844,4404.615234,4412.820313,4422.692383,4480.897461,4430.769043,4383.589844,4421.153809,4181.410156,4418.846191
1698668414.341985,0.0,4320.512695,4391.282227,4273.205078,4354.615234,4406.410156,4414.615234,4429.102539,4483.461426,4431.410156,4381.025879,4417.94873,4237.307617,4418.974121
1698668414.349793,0.0,4328.461426,4387.436035,4279.615234,4356.794922,4403.974121,4411.538574,4427.692383,4482.692383,4430.769043,4378.461426,4421.025879,4213.077148,4416.410156
1698668414.357602,0.0,4326.666504,4389.487305,4276.794922,4355.512695,4404.230957,4414.230957,4425.512695,4477.692383,4432.307617,4380.256348,4416.666504,4136.282227,4418.717773
1698668414.36541,0.0,4327.94873,4389.230957,4276.666504,4354.615234,4405.769043,4412.820313,4428.461426,4478.333496,4428.846191,4378.077148,4414.358887,4103.589844,4420.0
1698668414.373218,0.0,4329.615234,4386.666504,4282.94873,4358.077148,4403.205078,4407.307617,4425.769043,4480.641113,4432.563965,4380.641113,4418.589844,4170.897461,4418.974121
1698668414.381026,0.0,4324.102539,4392.05127,4275.512695,4353.077148,4403.205078,4412.179688,4428.205078,4478.717773,4434.102539,4378.974121,4412.820313,4223.333496,4418.846191
1698668414.388834,0.0,4329.102539,4387.692383,4284.743652,4355.512695,4404.487305,4413.461426,4428.589844,4478.846191,4430.641113,4377.179688,4414.871582,4214.358887,4417.94873
1698668414.396643,0.0,4325.128418,4388.717773,4281.153809,4357.820313,4402.692383,4413.589844,4425.384766,4481.922852,4434.358887,4380.897461,4416.153809,4157.05127,4414.871582
1698668414.404451,0.0,4322.563965,4391.410156,4272.436035,4354.102539,4402.05127,4412.692383,4424.230957,4483.205078,4431.922852,4379.615234,4416.153809,4103.974121,4415.769043
1698668414.412259,0.0,4327.05127,4386.794922,4279.871582,4356.922852,4404.230957,4409.358887,4424.487305,4480.0,4431.794922,4380.641113,4419.487305,4152.820313,4419.871582
1698668414.420067,0.0,4322.94873,4388.333496,4274.358887,4356.538574,4406.282227,4414.230957,4428.974121,4478.589844,4434.871582,4380.512695,4412.563965,4216.282227,4419.358887
1698668414.427876,0.0,4325.769043,4386.666504,4281.153809,4356.794922,4404.871582,4413.333496,4425.512695,4477.563965,4433.077148,4380.641113,4417.692383,4222.563965,4418.205078
1698668414.435684,0.0,4323.461426,4392.307617,4283.205078,4356.153809,4401.410156,4411.538574,4425.0,4476.153809,4434.615234,4383.077148,4419.487305,4154.871582,4422.179688
1698668414.443492,0.0,4325.641113,4389.358887,4279.102539,4353.717773,4400.128418,4412.05127,4430.128418,4478.205078,4429.102539,4377.436035,4412.692383,4095.897461,4420.897461
1698668414.4513,0.0,4331.666504,4383.077148,4285.641113,4358.717773,4402.436035,4409.487305,4424.487305,4481.153809,4429.102539,4380.128418,4423.205078,4157.692383,4419.230957
1698668414.459108,0.0,4321.538574,4391.666504,4272.563965,4353.461426,4405.256348,4416.025879,4425.512695,4482.692383,4436.922852,4383.717773,4420.641113,4210.256348,4419.358887
1698668414.466917,0.0,4324.358887,4386.538574,4279.743652,4350.897461,4404.615234,4414.487305,4428.205078,4481.282227,4433.461426,4379.615234,4415.769043,4219.615234,4415.0
1698668414.474725,0.0,4323.717773,4390.128418,4286.666504,4357.692383,4403.846191,4410.512695,4425.384766,4479.871582,4434.230957,4383.846191,4420.384766,4197.05127,4417.820313
1698668414.482533,0.0,4319.230957,4396.153809,4271.538574,4354.102539,4405.512695,4416.282227,4428.846191,4482.179688,4435.769043,4382.820313,4416.922852,4120.384766,4420.897461
1698668414.490341,0.0,4330.128418,4384.358887,4280.128418,4356.153809,4403.461426,4413.974121,4427.179688,4484.230957,4434.871582,4382.563965,4419.230957,4131.922852,4417.179688
1698668414.49815,0.0,4326.153809,4388.589844,4278.717773,4359.102539,4403.333496,4414.615234,4425.512695,4482.692383,4436.666504,4384.358887,4418.589844,4205.128418,4415.256348
1698668414.505958,0.0,4325.256348,4391.410156,4277.307617,4354.743652,4405.256348,4415.384766,4426.025879,4482.05127,4432.94873,4379.358887,4418.461426,4237.94873,4415.256348
1698668414.513766,0.0,4328.205078,4388.333496,4282.307617,4353.846191,4404.358887,4412.436035,4426.410156,4483.846191,4435.384766,4382.307617,4421.153809,4188.589844,4419.102539
1698668414.521574,0.0,4324.102539,4391.538574,4275.641113,4353.846191,4403.205078,4413.333496,4430.0,4483.589844,4436.538574,4382.820313,4416.153809,4100.0,4418.333496
1698668414.529382,0.0,4328.974121,4386.666504,4283.589844,4357.179688,4403.589844,4410.256348,4427.692383,4482.307617,4433.077148,4381.794922,4418.461426,4122.692383,4415.128418
1698668414.537191,0.0,4323.717773,4387.94873,4278.717773,4353.333496,4406.025879,4411.794922,4427.820313,4481.410156,4433.589844,4382.179688,4416.025879,4208.461426,4416.282227
1698668414.544999,0.0,4324.102539,4392.692383,4277.94873,4352.94873,4405.128418,4412.692383,4429.358887,4478.717773,4432.94873,4380.384766,4416.153809,4245.384766,4417.436035
