type,marker_value,duration,timestamp
phase_The_Japanese_creature,recording_eyes_closed,8.003424,1698668429.029245
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668429.029245,0.0,4329.102539,4379.615234,4270.512695,4353.974121,4402.436035,4414.102539,4427.179688,4485.641113,4443.333496,4384.487305,4412.307617,4230.897461,4423.461426
1698668429.037053,0.0,4338.077148,4379.615234,4285.897461,4355.384766,4400.897461,4410.641113,4424.358887,4479.358887,4435.256348,4383.974121,4413.461426,4226.153809,4420.641113
1698668429.044861,0.0,4326.666504,4389.358887,4296.410156,4359.871582,4400.769043,4407.436035,4424.487305,4466.794922,4440.256348,4389.487305,4416.410156,4226.282227,4417.94873
1698668429.05267,0.0,4328.333496,4391.282227,4293.461426,4356.794922,4400.256348,4411.538574,4428.077148,4473.974121,4439.230957,4384.743652,4410.0,4209.102539,4416.794922
1698668429.060478,0.0,4343.205078,4380.769043,4303.974121,4360.769043,4398.589844,4411.794922,4424.487305,4479.230957,4439.230957,4386.025879,4412.94873,4226.538574,4420.512695
1698668429.068286,0.0,4326.538574,4389.615234,4288.077148,4360.0,4402.563965,4413.589844,4428.333496,4469.615234,4441.538574,4388.077148,4413.333496,4231.282227,4419.743652
1698668429.076094,0.0,4318.717773,4390.897461,4283.461426,4359.230957,4403.717773,4408.974121,4427.820313,4469.358887,4435.512695,4382.692383,4419.358887,4233.333496,4415.384766
1698668429.083902,0.0,4327.692383,4387.436035,4290.897461,4360.384766,4402.820313,4407.820313,4425.0,4477.563965,4439.230957,4385.384766,4419.487305,4243.333496,4419.743652
1698668429.091711,0.0,4334.743652,4389.102539,4293.846191,4356.025879,4404.358887,4411.666504,4429.871582,4475.769043,4441.025879,4385.384766,4410.0,4226.794922,4420.384766
1698668429.099519,0.0,4335.512695,4386.025879,4302.563965,4357.563965,4402.05127,4410.0,4427.563965,4465.769043,4437.563965,4385.128418,4411.794922,4233.205078,4419.615234
1698668429.107327,0.0,4327.307617,4391.538574,4295.384766,4359.743652,4401.282227,4416.025879,4427.820313,4471.922852,4436.794922,4383.974121,4404.743652,4229.743652,4420.256348
1698668429.115135,0.0,4334.871582,4383.333496,4304.487305,4359.871582,4404.615234,4415.384766,4430.769043,4481.025879,4433.461426,4380.897461,4404.230957,4221.410156,4413.717773
1698668429.122944,0.0,4333.717773,4383.974121,4305.256348,4357.94873,4404.743652,4409.102539,4426.282227,4467.820313,4436.666504,4385.769043,4413.846191,4230.384766,4418.846191
1698668429.130752,0.0,4324.871582,4392.307617,4287.820313,4354.743652,4403.077148,4413.589844,4425.384766,4462.307617,4437.94873,4384.743652,4411.922852,4218.589844,4426.153809
1698668429.13856,0.0,4335.769043,4376.666504,4301.025879,4359.230957,4403.589844,4413.846191,4426.025879,4471.538574,4435.0,4383.974121,4413.077148,4226.153809,4416.282227
1698668429.146368,0.0,4328.333496,4381.922852,4296.410156,4356.025879,4406.153809,4413.589844,4429.743652,4470.641113,4433.717773,4385.128418,4409.743652,4226.538574,4415.512695
