type,marker_value,duration,timestamp
phase_The_babel_fish,recording,8.003425,1698668458.716093
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668458.716093,0.0,4331.410156,4387.179688,4285.897461,4356.794922,4410.0,4408.333496,4423.589844,4462.179688,4418.846191,4371.153809,4422.436035,4236.025879,4425.512695
1698668458.723902,0.0,4327.820313,4393.717773,4279.102539,4353.077148,4406.794922,4411.666504,4426.538574,4460.0,4420.769043,4371.922852,4415.897461,4220.384766,4426.666504
1698668458.73171,0.0,4333.205078,4389.102539,4288.333496,4359.102539,4403.205078,4412.05127,4426.025879,4459.615234,4417.179688,4368.846191,4418.717773,4223.333496,4425.256348
1698668458.739518,0.0,4329.230957,4390.256348,4283.717773,4360.256348,4403.974121,4413.333496,4428.589844,4463.333496,4419.487305,4370.0,4415.897461,4228.974121,4425.641113
1698668458.747326,0.0,4331.153809,4392.307617,4278.846191,4357.307617,4404.615234,4412.692383,4428.846191,4465.769043,4419.743652,4367.307617,4413.717773,4220.641113,4427.820313
1698668458.755134,0.0,4335.769043,4388.589844,4287.436035,4361.282227,4403.717773,4409.871582,4422.820313,4463.333496,4418.717773,4368.333496,4420.512695,4234.615234,4430.128418
1698668458.762943,0.0,4326.153809,4389.230957,4280.512695,4355.641113,4404.743652,4417.05127,4428.461426,4463.461426,4415.512695,4366.410156,4415.256348,4225.384766,4427.94873
1698668458.770751,0.0,4331.282227,4386.794922,4286.538574,4353.846191,4403.589844,4413.974121,4429.615234,4465.0,4415.384766,4365.897461,4417.820313,4225.256348,4421.538574
1698668458.778559,0.0,4330.641113,4392.307617,4283.589844,4357.820313,4404.230957,4408.717773,4426.153809,4461.282227,4420.769043,4369.871582,4420.897461,4231.794922,4422.436035
1698668458.786367,0.0,4327.307617,4394.487305,4282.94873,4359.358887,4406.282227,4412.820313,4424.871582,4458.717773,4415.512695,4365.384766,4415.641113,4218.461426,4426.538574
1698668458.794176,0.0,4335.0,4387.05127,4298.333496,4362.692383,4405.0,4415.0,4423.333496,4462.436035,4417.307617,4367.307617,4417.820313,4229.615234,4425.384766
1698668458.801984,0.0,4329.743652,4390.384766,4284.102539,4355.512695,4403.461426,4416.666504,4430.384766,4466.538574,4422.307617,4367.820313,4413.333496,4223.846191,4422.05127
1698668458.809792,0.0,4332.05127,4387.820313,4281.666504,4357.436035,4402.563965,4411.666504,4428.461426,4464.615234,4416.282227,4364.358887,4415.641113,4219.871582,4423.205078
1698668458.8176,0.0,4334.743652,4383.846191,4285.256348,4362.94873,4402.820313,4412.05127,4422.563965,4461.025879,4416.922852,4371.025879,4418.461426,4231.538574,4429.230957
1698668458.825408,0.0,4333.461426,4389.615234,4278.717773,4357.692383,4403.589844,4416.282227,4426.153809,4463.333496,4416.794922,4369.615234,4410.641113,4221.666504,4428.205078
1698668458.833217,0.0,4337.179688,4387.820313,4287.179688,4357.94873,4404.871582,4407.94873,4425.641113,4467.692383,4417.307617,4367.436035,4414.102539,4229.743652,4424.102539
1698668458.841025,0.0,4331.025879,4388.205078,4278.461426,4356.410156,4405.512695,4408.974121,4425.769043,4467.307617,4420.384766,4369.358887,4414.487305,4223.333496,4426.666504
1698668458.848833,0.0,4335.897461,4386.794922,4282.94873,4358.717773,4402.820313,4414.487305,4426.282227,4463.589844,4414.871582,4368.974121,4415.897461,4218.205078,4426.922852
1698668458.856641,0.0,4333.846191,4386.410156,4287.820313,4362.05127,4400.512695,4412.820313,4426.410156,4464.230957,4416.410156,4372.94873,4419.230957,4233.589844,4426.538574
1698668458.864449,0.0,4324.615234,4390.897461,4273.461426,4356.922852,4405.641113,4411.922852,4428.589844,4466.153809,4417.179688,4369.871582,4413.461426,4222.436035,4426.538574
1698668458.872258,0.0,4333.333496,4384.358887,4286.025879,4359.615234,4408.333496,4411.794922,4424.871582,4463.333496,4412.94873,4366.282227,4417.563965,4231.410156,4425.641113
