type,marker_value,duration,timestamp
phase_The_babel_fish,recording_eyes_closed,8.003425,1698668473.72349
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668473.72349,0.0,4336.538574,4382.05127,4291.922852,4358.846191,4404.230957,4415.128418,4426.282227,4464.102539,4419.102539,4367.563965,4423.717773,4185.512695,4429.615234
1698668473.731298,0.0,4331.282227,4386.025879,4283.589844,4357.692383,4403.974121,4417.94873,4429.102539,4459.871582,4415.256348,4364.871582,4417.820313,4163.333496,4427.307617
1698668473.739107,0.0,4337.436035,4382.820313,4290.0,4358.077148,4404.230957,4413.461426,4428.846191,4463.846191,4414.743652,4365.384766,4426.282227,4165.256348,4423.205078
1698668473.746915,0.0,4331.153809,4390.384766,4286.025879,4356.666504,4404.230957,4413.974121,4431.410156,4462.692383,4421.922852,4366.666504,4425.897461,4175.769043,4425.769043
1698668473.754723,0.0,4331.282227,4392.563965,4283.974121,4357.820313,4403.846191,4413.205078,4432.436035,4460.256348,4416.153809,4362.179688,4421.282227,4171.153809,4429.102539
1698668473.762531,0.0,4336.666504,4386.025879,4289.358887,4361.794922,4404.615234,4408.717773,4428.205078,4466.282227,4416.282227,4367.05127,4424.743652,4184.230957,4427.436035
1698668473.770339,0.0,4332.94873,4391.410156,4284.358887,4357.820313,4406.410156,4415.128418,4430.897461,4470.512695,4419.230957,4365.0,4418.077148,4166.666504,4423.846191
1698668473.778148,0.0,4337.05127,4389.358887,4292.692383,4360.897461,4404.871582,4413.205078,4427.307617,4464.230957,4414.615234,4361.922852,4422.436035,4163.461426,4422.94873
1698668473.785956,0.0,4328.333496,4388.333496,4279.743652,4357.692383,4403.846191,4412.307617,4427.179688,4458.205078,4418.333496,4366.153809,4423.846191,4168.461426,4424.871582
1698668473.793764,0.0,4333.077148,4384.487305,4278.717773,4354.615234,4406.153809,4413.589844,4426.538574,4465.256348,4414.871582,4363.461426,4420.897461,4157.692383,4425.256348
1698668473.801572,0.0,4337.05127,4381.922852,4290.769043,4361.025879,4404.615234,4407.692383,4422.436035,4467.820313,4413.717773,4367.179688,4428.077148,4179.358887,4425.128418
