type,marker_value,duration,timestamp
phase_The_cute_rat,recording,8.003424,1698668318.207194
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668318.207194,0.0,4324.871582,4381.025879,4297.563965,4357.563965,4402.05127,4409.102539,4420.384766,4482.05127,4435.384766,4381.538574,4423.205078,4161.794922,4418.846191
1698668318.215002,0.0,4323.077148,4384.743652,4291.410156,4354.743652,4400.641113,4411.538574,4424.102539,4484.102539,4436.153809,4382.179688,4423.461426,4161.153809,4422.563965
1698668318.22281,0.0,4325.384766,4385.641113,4285.0,4350.0,4403.205078,4411.538574,4425.512695,4483.205078,4430.0,4375.641113,4424.358887,4156.153809,4420.128418
1698668318.230618,0.0,4324.230957,4381.025879,4292.179688,4352.692383,4403.717773,4408.333496,4420.128418,4483.974121,4437.436035,4384.358887,4430.256348,4168.974121,4424.102539
1698668318.238427,0.0,4316.666504,4386.922852,4285.512695,4350.384766,4404.743652,4412.692383,4424.230957,4485.641113,4441.538574,4385.0,4422.307617,4156.538574,4425.641113
1698668318.246235,0.0,4322.820313,4385.0,4295.128418,4353.077148,4402.820313,4412.05127,4425.128418,4483.717773,4435.0,4377.94873,4425.512695,4159.743652,4418.077148
1698668318.254043,0.0,4317.307617,4383.589844,4293.717773,4355.256348,4399.358887,4410.769043,4424.487305,4483.205078,4436.282227,4380.641113,4429.230957,4162.563965,4418.077148
1698668318.261851,0.0,4315.512695,4387.94873,4284.358887,4352.94873,4400.897461,4411.153809,4425.512695,4483.461426,4436.282227,4380.0,4424.230957,4152.94873,4423.974121
1698668318.269659,0.0,4320.128418,4387.692383,4285.128418,4354.871582,4403.461426,4411.153809,4424.358887,4482.307617,4437.820313,4380.641113,4425.256348,4166.794922,4426.538574
1698668318.277468,0.0,4316.410156,4388.333496,4277.436035,4352.179688,4402.307617,4413.846191,4427.307617,4482.94873,4437.436035,4380.641113,4421.410156,4157.94873,4423.205078
1698668318.285276,0.0,4320.897461,4386.025879,4287.05127,4352.05127,4398.974121,4409.615234,4422.820313,4483.461426,4430.897461,4380.641113,4421.922852,4155.128418,4418.717773
1698668318.293084,0.0,4320.128418,4390.897461,4290.256348,4352.563965,4399.743652,4409.743652,4419.230957,4482.692383,4433.077148,4383.333496,4424.358887,4162.94873,4420.256348
1698668318.300892,0.0,4322.94873,4385.897461,4283.717773,4352.179688,4402.563965,4411.794922,4424.743652,4486.410156,4435.256348,4379.871582,4424.358887,4155.897461,4421.794922
1698668318.3087,0.0,4324.487305,4379.487305,4285.128418,4356.538574,4402.05127,4406.410156,4424.230957,4487.05127,4435.0,4378.974121,4426.538574,4166.410156,4420.128418
1698668318.316509,0.0,4313.589844,4390.897461,4278.205078,4352.307617,4400.512695,4408.077148,4424.358887,4483.461426,4437.692383,4379.743652,4421.538574,4159.358887,4420.897461
1698668318.324317,0.0,4317.05127,4388.846191,4289.487305,4350.128418,4400.0,4409.487305,4424.487305,4482.692383,4437.436035,4378.589844,4422.94873,4154.487305,4421.282227
1698668318.332125,0.0,4321.282227,4385.0,4291.153809,4353.846191,4401.282227,4408.717773,4423.333496,4483.205078,4436.282227,4380.897461,4424.102539,4161.025879,4422.179688
1698668318.339933,0.0,4320.512695,4385.384766,4280.897461,4354.487305,4403.461426,4410.769043,4423.974121,4483.333496,4431.538574,4379.102539,4420.128418,4153.205078,4424.615234
1698668318.347742,0.0,4324.102539,4382.94873,4296.538574,4357.436035,4403.461426,4409.743652,4420.128418,4479.487305,4431.538574,4379.102539,4422.692383,4165.128418,4422.563965
1698668318.35555,0.0,4316.922852,4390.769043,4291.153809,4352.94873,4400.384766,4409.615234,4422.307617,4479.615234,4436.025879,4379.615234,4419.743652,4158.846191,4420.512695
1698668318.363358,0.0,4317.692383,4387.563965,4283.333496,4352.563965,4397.563965,4405.769043,4425.512695,4484.358887,4433.461426,4377.94873,4423.205078,4151.282227,4421.025879
1698668318.371166,0.0,4322.692383,4385.128418,4289.230957,4358.333496,4398.461426,4406.282227,4422.94873,4483.846191,4435.256348,4382.692383,4427.820313,4165.128418,4422.179688
1698668318.378975,0.0,4320.769043,4392.436035,4287.307617,4350.512695,4400.0,4413.461426,4423.205078,4483.205078,4434.871582,4379.871582,4421.794922,4155.384766,4422.307617
1698668318.386783,0.0,4321.922852,4391.025879,4296.282227,4350.256348,4399.230957,4411.410156,4421.794922,4482.94873,4433.077148,4378.077148,4425.256348,4161.153809,4420.769043
1698668318.394591,0.0,4317.05127,4389.743652,4286.410156,4352.436035,4401.922852,4411.922852,4425.769043,4481.538574,4434.871582,4381.538574,4423.717773,4164.743652,4418.589844
1698668318.402399,0.0,4320.769043,4385.512695,4278.717773,4347.563965,4404.743652,4410.512695,4428.333496,4483.333496,4433.077148,4378.077148,4420.384766,4158.589844,4417.563965
1698668318.410207,0.0,4322.563965,4386.153809,4289.615234,4351.025879,4402.436035,4406.025879,4423.589844,4485.384766,4437.05127,4380.0,4423.333496,4166.410156,4422.307617
1698668318.418016,0.0,4314.230957,4391.153809,4285.0,4351.922852,4401.538574,4409.358887,4423.717773,4483.205078,4437.563965,4379.230957,4419.615234,4153.846191,4425.256348
1698668318.425824,0.0,4321.025879,4386.922852,4289.102539,4352.94873,4402.05127,4406.153809,4422.692383,4480.512695,4433.205078,4377.436035,4425.128418,4159.743652,4422.179688
1698668318.433632,0.0,4320.641113,4391.410156,4285.128418,4351.922852,4401.794922,4405.897461,4423.333496,4480.897461,4435.769043,4381.794922,4425.0,4164.230957,4421.666504
1698668318.44144,0.0,4319.102539,4392.563965,4281.794922,4348.974121,4401.538574,4410.769043,4424.102539,4483.974121,4432.436035,4380.641113,4420.256348,4152.436035,4422.692383
1698668318.449248,0.0,4324.102539,4383.461426,4294.230957,4353.077148,4399.487305,4408.589844,4420.769043,4486.922852,4432.820313,4380.384766,4427.820313,4164.102539,4422.94873
1698668318.457057,0.0,4316.410156,4389.487305,4285.0,4352.94873,4398.846191,4409.230957,4424.743652,4484.230957,4436.153809,4378.461426,4423.589844,4166.666504,4418.974121
1698668318.464865,0.0,4317.94873,4394.102539,4285.641113,4355.256348,4402.820313,4408.461426,4423.717773,4480.0,4432.179688,4378.461426,4423.846191,4161.410156,4415.769043
1698668318.472673,0.0,4322.436035,4384.615234,4294.230957,4355.512695,4404.615234,4404.358887,4419.615234,4482.820313,4434.102539,4383.717773,4431.538574,4152.820313,4416.025879
1698668318.480481,0.0,4326.410156,4373.461426,4296.025879,4353.846191,4399.102539,4400.897461,4419.743652,4483.589844,4433.333496,4378.846191,4426.666504,4196.410156,4406.025879
1698668318.488289,0.0,4328.846191,4374.358887,4300.384766,4361.025879,4396.025879,4401.666504,4415.512695,4478.974121,4436.282227,4381.538574,4427.820313,4264.743652,4410.769043
1698668318.496098,0.0,4317.563965,4392.436035,4281.282227,4358.077148,4402.436035,4411.153809,4418.717773,4474.615234,4439.230957,4380.769043,4421.538574,4241.794922,4427.820313
1698668318.503906,0.0,4325.897461,4387.563965,4284.102539,4354.230957,4405.384766,4408.077148,4423.077148,4472.563965,4434.230957,4371.922852,4415.897461,4223.461426,4420.128418
1698668318.511714,0.0,4328.333496,4378.589844,4294.102539,4357.436035,4401.153809,4404.230957,4422.820313,4471.666504,4439.102539,4376.410156,4420.256348,4238.333496,4417.436035
1698668318.519523,0.0,4317.692383,4387.563965,4278.846191,4353.717773,4399.871582,4413.077148,4426.410156,4471.666504,4435.769043,4374.230957,4413.333496,4218.974121,4424.102539
1698668318.527331,0.0,4326.282227,4385.769043,4286.282227,4355.256348,4401.025879,4411.666504,4424.102539,4475.897461,4431.794922,4372.94873,4413.974121,4221.025879,4419.230957
1698668318.535139,0.0,4324.487305,4389.102539,4284.102539,4355.897461,4402.820313,4409.743652,4424.487305,4477.820313,4438.077148,4375.256348,4414.871582,4225.769043,4418.717773
1698668318.542947,0.0,4321.153809,4387.05127,4281.153809,4352.94873,4403.077148,4408.717773,4427.05127,4475.641113,4431.794922,4371.153809,4412.436035,4220.0,4419.102539
1698668318.550755,0.0,4322.563965,4386.153809,4290.384766,4354.871582,4401.025879,4407.563965,4424.358887,4474.871582,4431.666504,4375.897461,4415.769043,4228.717773,4422.563965
1698668318.558564,0.0,4320.897461,4393.974121,4283.205078,4352.05127,4401.025879,4412.179688,4426.666504,4474.743652,4435.384766,4375.0,4413.077148,4217.307617,4424.102539
1698668318.566372,0.0,4325.641113,4387.692383,4287.436035,4351.922852,4402.820313,4409.230957,4423.974121,4474.743652,4431.666504,4373.333496,4416.538574,4221.666504,4419.871582
1698668318.57418,0.0,4319.102539,4388.077148,4285.384766,4352.05127,4404.230957,4410.641113,4421.153809,4474.871582,4431.282227,4376.666504,4415.384766,4225.384766,4421.025879
1698668318.581988,0.0,4319.487305,4388.077148,4286.794922,4351.538574,4401.922852,4410.256348,4422.94873,4473.717773,4429.102539,4372.820313,4413.846191,4216.922852,4419.230957
1698668318.589796,0.0,4326.794922,4386.153809,4294.230957,4355.512695,4400.0,4405.0,4421.153809,4473.077148,4433.717773,4373.589844,4418.333496,4228.333496,4418.077148
1698668318.597605,0.0,4320.769043,4389.871582,4282.05127,4353.077148,4403.077148,4410.128418,4424.615234,4475.897461,4435.897461,4375.384766,4413.077148,4216.025879,4420.512695
1698668318.605413,0.0,4325.512695,4386.666504,4289.615234,4355.897461,4404.615234,4410.0,4424.102539,4477.563965,4429.615234,4374.487305,4416.538574,4215.512695,4420.0
1698668318.613221,0.0,4324.487305,4389.230957,4292.436035,4357.436035,4403.846191,4408.077148,4424.102539,4476.922852,4433.205078,4374.743652,4418.717773,4226.794922,4419.615234
1698668318.621029,0.0,4318.589844,4388.461426,4284.615234,4353.333496,4403.333496,4410.0,4426.666504,4479.743652,4434.615234,4371.666504,4413.589844,4220.512695,4419.487305
1698668318.628837,0.0,4325.512695,4382.436035,4292.436035,4355.128418,4400.897461,4409.102539,4423.333496,4483.205078,4432.820313,4374.743652,4416.538574,4230.384766,4423.205078
1698668318.636646,0.0,4326.025879,4387.436035,4286.794922,4352.179688,4400.512695,4412.05127,4425.769043,4482.05127,4430.769043,4375.641113,4415.0,4220.769043,4423.077148
1698668318.644454,0.0,4325.256348,4387.307617,4290.384766,4352.692383,4403.846191,4411.153809,4425.256348,4479.615234,4427.436035,4372.179688,4419.102539,4217.563965,4417.436035
1698668318.652262,0.0,4321.025879,4387.563965,4292.94873,4354.871582,4404.871582,4411.282227,4424.102539,4479.230957,4432.692383,4375.512695,4419.743652,4228.589844,4419.487305
