type,marker_value,duration,timestamp
phase_The_valley_of_white,recording,8.003424,1698668274.449935
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668274.449935,0.0,4325.0,4379.615234,4297.307617,4356.538574,4401.794922,4407.307617,4421.025879,4480.769043,4435.128418,4381.538574,4416.282227,4163.974121,4418.077148
1698668274.457743,0.0,4326.666504,4380.128418,4291.538574,4357.692383,4400.769043,4407.94873,4423.846191,4481.282227,4435.512695,4383.077148,4416.282227,4160.641113,4418.333496
1698668274.465551,0.0,4327.563965,4379.871582,4292.94873,4351.410156,4399.615234,4409.358887,4419.743652,4484.871582,4434.487305,4381.025879,4418.461426,4150.256348,4417.563965
1698668274.473359,0.0,4320.128418,4386.025879,4300.128418,4352.563965,4401.410156,4408.205078,4417.307617,4478.461426,4437.307617,4383.333496,4420.0,4157.563965,4417.436035
1698668274.481168,0.0,4314.102539,4392.179688,4296.794922,4356.153809,4402.179688,4409.871582,4423.077148,4476.410156,4437.436035,4381.794922,4416.282227,4155.128418,4417.563965
1698668274.488976,0.0,4317.436035,4385.641113,4303.205078,4354.871582,4400.128418,4406.922852,4423.333496,4478.589844,4434.615234,4379.743652,4418.461426,4159.871582,4417.563965
1698668274.496784,0.0,4317.179688,4387.307617,4303.846191,4352.563965,4399.743652,4405.128418,4422.179688,4475.256348,4434.743652,4381.410156,4418.205078,4155.384766,4415.256348
1698668274.504592,0.0,4319.230957,4389.743652,4300.512695,4355.0,4400.128418,4407.563965,4422.692383,4474.487305,4435.641113,4380.512695,4418.589844,4154.871582,4415.0
1698668274.512401,0.0,4319.358887,4385.512695,4300.641113,4357.692383,4399.871582,4408.717773,4420.512695,4478.589844,4436.153809,4381.538574,4418.846191,4163.717773,4417.05127
1698668274.520209,0.0,4321.025879,4381.794922,4295.512695,4354.487305,4399.230957,4410.256348,4423.974121,4487.179688,4434.871582,4380.256348,4412.436035,4150.512695,4415.897461
1698668274.528017,0.0,4330.769043,4379.743652,4296.666504,4355.384766,4400.641113,4410.256348,4424.358887,4492.05127,4436.794922,4379.358887,4415.641113,4155.256348,4414.615234
1698668274.535825,0.0,4325.0,4384.487305,4294.743652,4355.897461,4401.282227,4412.05127,4424.230957,4486.282227,4437.179688,4381.153809,4415.512695,4158.846191,4413.333496
1698668274.543633,0.0,4319.102539,4385.256348,4297.436035,4353.974121,4397.05127,4411.410156,4425.384766,4479.230957,4431.410156,4379.358887,4413.589844,4152.563965,4410.256348
