type,marker_value,duration,timestamp
phase_The_valley_of_white,recording_eyes_closed,8.003424,1698668289.457332
Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1698668289.457332,0.0,4322.05127,4389.102539,4307.179688,4353.846191,4398.461426,4408.461426,4422.692383,4468.589844,4427.436035,4378.077148,4425.897461,4241.410156,4422.05127
1698668289.46514,0.0,4321.153809,4389.102539,4298.589844,4350.641113,4397.692383,4411.794922,4422.820313,4476.794922,4430.384766,4380.769043,4417.692383,4291.282227,4426.025879
1698668289.472948,0.0,4322.94873,4382.307617,4299.615234,4354.615234,4398.205078,4406.282227,4420.769043,4482.820313,4429.230957,4379.102539,4420.512695,4280.769043,4422.436035
1698668289.480756,0.0,4316.666504,4387.820313,4297.179688,4358.461426,4398.333496,4409.871582,4425.256348,4482.436035,4431.666504,4380.0,4422.820313,4206.538574,4422.820313
1698668289.488564,0.0,4327.563965,4385.0,4293.461426,4357.820313,4398.974121,4415.128418,4429.615234,4489.615234,4430.641113,4378.974121,4421.666504,4155.256348,4421.922852
1698668289.496373,0.0,4330.897461,4386.538574,4301.538574,4359.358887,4400.897461,4409.615234,4421.538574,4486.025879,4430.512695,4379.615234,4426.282227,4223.205078,4423.077148
1698668289.504181,0.0,4311.922852,4391.282227,4295.128418,4351.666504,4401.025879,4406.794922,4423.974121,4480.128418,4432.692383,4377.820313,4422.94873,4297.692383,4420.641113
1698668289.511989,0.0,4316.410156,4386.153809,4299.102539,4353.461426,4401.666504,4409.230957,4425.384766,4477.563965,4428.205078,4374.230957,4424.230957,4290.512695,4417.820313
1698668289.519797,0.0,4322.820313,4391.153809,4302.307617,4360.256348,4402.820313,4413.846191,4421.410156,4474.358887,4428.333496,4374.743652,4426.282227,4216.794922,4421.666504
1698668289.527606,0.0,4321.410156,4384.358887,4296.153809,4350.897461,4399.743652,4411.153809,4425.641113,4484.615234,4428.589844,4372.179688,4420.0,4164.230957,4415.384766
1698668289.535414,0.0,4324.230957,4384.871582,4302.820313,4355.128418,4399.230957,4408.717773,4421.538574,4482.820313,4427.436035,4374.487305,4420.128418,4221.666504,4419.102539
1698668289.543222,0.0,4326.922852,4391.666504,4293.205078,4360.769043,4400.128418,4412.94873,4421.538574,4484.358887,4430.897461,4377.94873,4419.743652,4284.615234,4424.743652
1698668289.55103,0.0,4335.641113,4377.436035,4288.205078,4356.025879,4396.025879,4409.358887,4424.743652,4498.077148,4430.512695,4375.128418,4420.897461,4288.717773,4417.692383
1698668289.558838,0.0,4328.205078,4385.0,4297.436035,4359.102539,4396.922852,4408.846191,4420.769043,4487.820313,4431.538574,4378.589844,4422.436035,4238.717773,4421.410156
1698668289.566647,0.0,4320.128418,4393.589844,4297.820313,4357.179688,4399.230957,4411.153809,4425.512695,4480.128418,4431.153809,4380.128418,4418.974121,4174.487305,4420.641113
1698668289.574455,0.0,4325.641113,4385.641113,4302.179688,4355.128418,4398.333496,4408.717773,4424.358887,4484.871582,4430.769043,4377.563965,4422.05127,4205.641113,4416.538574
1698668289.582263,0.0,4321.794922,4393.589844,4298.461426,4355.128418,4397.563965,4410.641113,4419.743652,4485.0,4431.538574,4376.922852,4421.538574,4269.615234,4420.384766
1698668289.590071,0.0,4322.692383,4391.282227,4300.641113,4355.641113,4398.717773,4409.102539,4420.128418,4484.615234,4427.179688,4377.05127,4422.94873,4288.974121,4418.717773
1698668289.59788,0.0,4322.820313,4384.743652,4302.94873,4358.077148,4401.794922,4407.563965,4420.512695,4486.153809,4432.05127,4379.102539,4425.384766,4249.615234,4418.589844
1698668289.605688,0.0,4321.794922,4389.358887,4295.641113,4353.589844,4403.333496,4410.769043,4422.820313,4488.333496,4435.128418,4377.05127,4420.256348,4185.897461,4420.769043
1698668289.613496,0.0,4325.512695,4387.94873,4302.436035,4356.153809,4401.666504,4409.358887,4420.384766,4483.589844,4431.666504,4378.205078,4423.461426,4210.897461,4419.358887
1698668289.621304,0.0,4323.205078,4385.0,4295.897461,4358.974121,4400.769043,4411.153809,4421.794922,4483.461426,4434.743652,4377.692383,4423.205078,4267.307617,4419.230957
1698668289.629112,0.0,4331.410156,4377.436035,4290.897461,4354.487305,4400.897461,4410.256348,4423.333496,4489.743652,4435.897461,4370.128418,4421.025879,4291.538574,4417.563965
1698668289.636921,0.0,4329.102539,4384.487305,4299.743652,4354.487305,4399.871582,4409.102539,4419.487305,4482.94873,4433.717773,4377.436035,4426.153809,4255.897461,4420.128418
1698668289.644729,0.0,4315.256348,4392.05127,4298.333496,4355.769043,4401.666504,4416.025879,4422.563965,4477.307617,4429.102539,4381.666504,4423.077148,4176.282227,4420.128418
1698668289.652537,0.0,4325.256348,4380.0,4302.94873,4361.282227,4403.077148,4411.282227,4422.692383,4481.410156,4428.846191,4376.922852,4422.563965,4199.230957,4416.666504
1698668289.660345,0.0,4328.077148,4386.410156,4299.615234,4361.153809,4400.384766,4406.922852,4424.358887,4481.282227,4434.358887,4379.230957,4422.94873,4270.769043,4421.025879
1698668289.668153,0.0,4324.871582,4388.974121,4299.230957,4353.589844,4399.102539,4410.769043,4427.307617,4485.897461,4431.538574,4379.102539,4419.743652,4283.717773,4419.358887
1698668289.675962,0.0,4327.563965,4382.94873,4309.743652,4356.794922,4400.512695,4410.0,4419.743652,4485.897461,4433.717773,4379.102539,4422.179688,4253.717773,4418.205078
1698668289.68377,0.0,4316.794922,4388.846191,4297.820313,4357.307617,4400.897461,4410.128418,4420.641113,4478.333496,4437.436035,4376.922852,4420.256348,4198.589844,4418.589844
1698668289.691578,0.0,4316.153809,4386.666504,4291.282227,4355.512695,4400.512695,4407.05127,4426.153809,4481.666504,4432.05127,4376.794922,4424.358887,4211.666504,4417.179688
1698668289.699386,0.0,4323.205078,4386.282227,4291.538574,4356.410156,4401.538574,4408.846191,4424.230957,4484.871582,4434.487305,4380.128418,4426.282227,4265.769043,4425.769043
1698668289.707195,0.0,4328.974121,4383.974121,4290.769043,4356.410156,4399.615234,4413.077148,4422.179688,4487.563965,4431.153809,4371.538574,4419.230957,4270.641113,4422.94873
1698668289.715003,0.0,4329.487305,4378.333496,4296.794922,4357.179688,4396.666504,4410.384766,4422.692383,4494.743652,4427.563965,4371.538574,4421.025879,4246.794922,4413.589844
1698668289.722811,0.0,4321.410156,4390.256348,4294.102539,4352.05127,4401.153809,4413.974121,4424.743652,4489.358887,4431.410156,4377.05127,4419.358887,4209.487305,4416.794922
1698668289.730619,0.0,4324.102539,4391.153809,4305.384766,4355.384766,4403.974121,4412.05127,4419.487305,4477.179688,4429.230957,4375.128418,4422.563965,4222.179688,4418.205078
1698668289.738428,0.0,4322.94873,4380.897461,4304.102539,4360.0,4399.358887,4408.077148,4418.974121,4481.410156,4432.05127,4377.307617,4428.461426,4253.717773,4419.871582
1698668289.746236,0.0,4324.358887,4382.436035,4289.230957,4356.025879,4396.794922,4411.153809,4425.641113,4486.794922,4432.94873,4376.922852,4423.846191,4234.615234,4422.820313
1698668289.754044,0.0,4329.102539,4386.666504,4302.563965,4359.743652,4397.692383,4408.589844,4421.794922,4479.615234,4429.615234,4377.563965,4422.820313,4238.205078,4422.05127
1698668289.761852,0.0,4318.717773,4389.871582,4302.307617,4359.102539,4400.0,4410.0,4422.436035,4478.589844,4428.846191,4377.692383,4418.333496,4245.384766,4419.487305
1698668289.76966,0.0,4322.05127,4384.358887,4296.922852,4355.0,4400.384766,4411.153809,4425.769043,4481.410156,4427.820313,4375.128418,4420.0,4246.794922,4414.871582
1698668289.777469,0.0,4323.077148,4386.410156,4300.897461,4357.436035,4399.358887,4408.205078,4421.794922,4477.563965,4430.128418,4379.615234,4424.871582,4249.871582,4418.333496
1698668289.785277,0.0,4316.025879,4392.179688,4296.410156,4354.871582,4400.128418,4409.102539,4424.615234,4477.820313,4426.794922,4377.05127,4417.179688,4215.641113,4422.820313
1698668289.793085,0.0,4324.743652,4383.333496,4301.153809,4357.307617,4401.025879,4407.820313,4424.615234,4483.077148,4426.538574,4374.358887,4422.563965,4220.512695,4420.512695
1698668289.800893,0.0,4324.230957,4388.333496,4294.487305,4360.897461,4401.922852,4408.461426,4421.153809,4486.025879,4433.589844,4379.487305,4428.589844,4255.128418,4421.025879
1698668289.808701,0.0,4322.436035,4386.410156,4292.436035,4357.563965,4400.256348,4408.077148,4422.820313,4488.589844,4428.461426,4376.666504,4424.743652,4273.589844,4418.974121
1698668289.81651,0.0,4325.128418,4380.128418,4305.512695,4360.128418,4397.307617,4406.922852,4422.179688,4484.102539,4427.820313,4375.384766,4423.205078,4258.333496,4419.615234
1698668289.824318,0.0,4319.102539,4393.333496,4298.333496,4359.743652,4397.94873,4409.743652,4422.820313,4477.563965,4432.692383,4375.641113,4419.615234,4197.436035,4421.282227
1698668289.832126,0.0,4318.077148,4392.94873,4297.94873,4357.94873,4400.128418,4406.794922,4422.307617,4478.077148,4429.230957,4377.307617,4423.974121,4196.410156,4418.846191
1698668289.839934,0.0,4319.358887,4386.153809,4299.871582,4358.589844,4400.384766,4408.205078,4421.025879,4480.384766,4427.692383,4380.641113,4422.436035,4260.0,4423.333496
1698668289.847742,0.0,4328.846191,4382.436035,4296.794922,4358.333496,4399.871582,4412.692383,4422.179688,4482.563965,4425.384766,4372.820313,4417.05127,4291.025879,4419.615234
