latency,duration,type,marker_value,key,timestamp,marker_id
0.148356,12.376027,sensor_check,true,-1,1698668066.485832,1
12.524383,0.000000,published_date,2023-10-29T20:27:46.160081Z,-1,1698668078.861859,2
12.524383,9.830548,phase_calibration,calibration,-1,1698668078.861859,3
12.524383,9.830548,sound_check,true,-1,1698668078.861859,4
22.354931,36.120820,phase_Calibration_phase_1,52461,-1,1698668088.692407,5
22.354931,14.593561,eyesopen_element_d1tx,NULL,-1,1698668088.692407,6
36.948492,21.527259,eyesclose_element_gpfw,NULL,-1,1698668103.285968,7
58.475751,4.364795,phase_Instructions_phase_1,52462,-1,1698668124.813227,8
58.475751,4.372603,text_element_5hb0,NULL,-1,1698668124.813227,9
62.848354,446.583273,active_period,true,-1,1698668129.185830,10
62.934244,41.016574,phase_Meditating_cube,52478,-1,1698668129.271720,11
62.934244,8.003425,image_element_0jx4,preparing,-1,1698668129.271720,12
70.937669,5.005068,text_element_jfqq,preparing,-1,1698668137.275145,13
75.942737,8.003424,image_element_mol4,recording,-1,1698668142.280213,14
83.946161,2.998357,text_element_ch3q,preparing,-1,1698668150.283637,15
86.944518,4.005616,text_element_n6f8,preparing,-1,1698668153.281994,16
90.950134,7.995616,image_element_nkt2,recording_eyes_closed,-1,1698668157.287610,17
98.953558,4.997260,text_element_odm5,preparing,-1,1698668165.291034,18
103.950818,2.998356,phase_Instructions_phase_2,52467,-1,1698668170.288294,19
103.950818,2.998356,text_element_ttev,NULL,-1,1698668170.288294,20
106.949174,41.016574,phase_Image_Cube,52470,-1,1698668173.286650,21
106.949174,8.003425,image_element_0jx4,preparing,-1,1698668173.286650,22
114.952599,5.005068,text_element_jfqq,preparing,-1,1698668181.290075,23
119.957667,7.995616,image_element_mol4,recording,-1,1698668186.295143,24
127.953283,3.006165,text_element_ch3q,preparing,-1,1698668194.290759,25
130.959448,3.997808,text_element_n6f8,preparing,-1,1698668197.296924,26
134.965064,7.995616,image_element_nkt2,recording_eyes_closed,-1,1698668201.302540,27
142.960680,5.005068,text_element_odm5,preparing,-1,1698668209.298156,28
147.965748,3.271644,phase_Instructions_phase_2_Copy_1,52472,-1,1698668214.303224,29
147.965748,3.271644,text_element_ttev,NULL,-1,1698668214.303224,30
151.237392,41.016574,phase_Sitting_on_the_chair_in_nature,52471,-1,1698668217.574868,31
151.237392,8.003424,image_element_0jx4,preparing,-1,1698668217.574868,32
159.240816,4.997261,text_element_jfqq,preparing,-1,1698668225.578292,33
164.238077,8.003424,image_element_mol4,recording,-1,1698668230.575553,34
172.241501,2.998356,text_element_ch3q,preparing,-1,1698668238.578977,35
175.247665,3.997809,text_element_n6f8,preparing,-1,1698668241.585141,36
179.245474,8.003424,image_element_nkt2,recording_eyes_closed,-1,1698668245.582950,37
187.248898,5.005068,text_element_odm5,preparing,-1,1698668253.586374,38
192.253966,2.857808,phase_Instructions_phase_2_Copy_1_Copy_1,52473,-1,1698668258.591442,39
192.253966,2.857808,text_element_ttev,NULL,-1,1698668258.591442,40
195.111774,41.008766,phase_The_valley_of_white,52474,-1,1698668261.449250,41
195.111774,7.995617,image_element_0jx4,preparing,-1,1698668261.449250,42
203.107391,5.005068,text_element_jfqq,preparing,-1,1698668269.444867,43
208.112459,8.003424,image_element_mol4,recording,-1,1698668274.449935,44
216.115883,2.998356,text_element_ch3q,preparing,-1,1698668282.453359,45
219.114239,4.005617,text_element_n6f8,preparing,-1,1698668285.451715,46
223.119856,8.003424,image_element_nkt2,recording_eyes_closed,-1,1698668289.457332,47
231.123280,4.997260,text_element_odm5,preparing,-1,1698668297.460756,48
236.120540,2.740685,phase_Instructions_phase_2_Copy_1_Copy_1_Copy_1,52475,-1,1698668302.458016,49
236.120540,2.740685,text_element_ttev,NULL,-1,1698668302.458016,50
238.861225,41.016574,phase_The_cute_rat,52476,-1,1698668305.198701,51
238.861225,8.003424,image_element_0jx4,preparing,-1,1698668305.198701,52
